,name,type,url_pics
0,1. b Restaurant,American,"['https://media-cdn.tripadvisor.com/media/photo-f/12/d3/58/ab/b-dali-si-te-gusta-el.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/79/28/9b/nachos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/79/1f/f3/b-dali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/79/1e/ff/nachos-con-nuestra-salsa.jpg']"
1,2. CocoVail Beer Hall,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/0c/fc/family.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/14/9a/home.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/06/95/todas-nuestras-cervezas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/06/64/beer-wings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/06/d1/burger-coco-vail-french.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/d0/0d/02/beer-degustation.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/d6/c3/c1/feelathome.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/d6/c3/d9/18-flavors-of-wings-to.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/d6/c3/c1/feelathome.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/d6/c3/d9/18-flavors-of-wings-to.jpg']"
2,3. Big Al's American Kitchen,American,"['https://media-cdn.tripadvisor.com/media/photo-f/11/47/1d/90/bbq-cheeseburger-big.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/47/23/c2/double-vegan-tempeh-tation.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/47/1d/78/our-famous-pulled-pork.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/11/47/23/c3/omg-wings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/47/2d/9e/the-widowmaker-junior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/47/2c/eb/omg-chicken-sandwich.jpg']"
3,4. Anauco Barcelona,American,"['https://media-cdn.tripadvisor.com/media/photo-f/28/ad/c6/3d/nuestro-local-por-dentro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/ad/c6/3b/nuestro-local-por-dentro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/ad/c6/36/nuestro-local-por-dentro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/a6/f2/fb/cheese-cake.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/a6/f2/32/chicken-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/a6/f0/7f/chicago-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/a6/f0/00/route-66.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/a6/ee/5e/texas-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/a6/eb/d4/tequenos-de-nutella.jpg']"
4,5. Soda Bus,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/a2/cb/3f/portada-soda.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/55/fe/78/provolone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/55/fe/76/entrana-argentina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/55/fe/7f/finguers-de-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/55/fe/72/entrana-argentina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/55/fe/7d/nachos-con-pulled-pork.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/55/fe/6a/provolone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/55/fe/7c/alitas-de-pollo-y-burguer.jpg']"
5,6. Red Garter Barcelona,American,"['https://media-cdn.tripadvisor.com/media/photo-s/17/84/33/46/burger-catalana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/3f/33/5b/tacos.jpg']"
6,7. Little Bacoa,American,"['https://media-cdn.tripadvisor.com/media/photo-s/10/93/26/0c/la-gran-vegano.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/8d/fa/b5/la-bacoa-con-bacon-ahumado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/10/e0/77/7a/nosotros-ponemos-las.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/5f/05/42/nueva-burger-vegana-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/10/fe/95/fb/la-bacoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/10/e0/77/83/la-bacoa-nuestra-bestseller.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/fe/95/f6/manchego-doble-o-bacoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/fe/95/f6/manchego-doble-o-bacoa.jpg']"
7,8. National Burger Steak house,American,"['https://media-cdn.tripadvisor.com/media/photo-f/11/bf/74/e9/postre-hamburgueseria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/bf/74/9e/postre-national-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/06/bd/06/steak-house-barcelona.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/06/bc/7f/black-angus-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/06/bb/8a/best-burger-in-barcelona.jpg']"
8,9. Brunch & Bakery,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/9c/27/34/caesar-salad-en-el-menu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/9c/23/1e/best-bagels-in-barcelona.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/9c/22/c4/miky-burgerdelicious.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/9c/28/0f/brunch-bakery-burger.jpg']"
9,10. The Ranch Smokehouse,American,"['https://media-cdn.tripadvisor.com/media/photo-f/21/64/7c/bd/chicago-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/64/7c/c8/mac-daddy-combinacion.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/64/7d/10/wils-west-nachos-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/64/7c/c1/mac-daddy-sandwich.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/64/7c/e6/austin-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/64/7c/c6/old-west-nachos-con-pulled.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/60/6c/82/para-los-amantes-del.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ff/91/aa/combo-de-3-carnes.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/60/6c/82/para-los-amantes-del.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ff/91/aa/combo-de-3-carnes.jpg']"
