,name,type,url_pics
0,1. Steakburger Gran Via 16,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/4e/45/ac/la-original-front.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/4e/45/b9/la-original-destapada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/4e/22/0d/la-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/4e/45/a5/la-original.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/9e/ad/steak-burger-gran-via.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/9b/ad/steak-burger-gran-via.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/9c/17/steak-burger-gran-via.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/9c/c6/steak-burger-gran-via.jpg']"
1,2. Johnny Rockets,American,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/d4/6a/cc/johnny-rockets-burgers.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a8/fb/7b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/79/47/66/johnny-rockets.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e0/38/06/iriquisimo.jpg']"
2,3. Alright,American,"['https://media-cdn.tripadvisor.com/media/photo-f/08/8e/8a/5a/alright.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/9e/f0/fe/entrada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/09/b0/e3/bd/alright.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/22/43/a5/alright.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/1a/3a/98/alright.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/22/43/a5/alright.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/1a/3a/98/alright.jpg']"
3,4. Steak Burger Luchana,American,"['https://media-cdn.tripadvisor.com/media/photo-f/16/5c/91/2b/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/91/55/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/92/96/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/91/a7/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/99/cd/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/91/75/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/22/24/71/ahora-y-durante-todo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/91/75/steak-burger-luchana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/22/24/71/ahora-y-durante-todo.jpg']"
4,5. Steakburger Preciados,American,"['https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a7/1f/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a6/2a/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/59/92/0c/steakburger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a7/9c/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a6/9f/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/59/94/87/steakburger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a5/d4/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/59/8f/fd/steakburger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/59/94/87/steakburger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5c/a5/d4/steak-burger-preciados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/59/8f/fd/steakburger-preciados.jpg']"
5,6. Burnout Burgers,American,"['https://media-cdn.tripadvisor.com/media/photo-f/15/35/62/79/a-view-to-a-kill.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/35/62/70/chilibrgr.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/35/62/7b/burnout-nachos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/35/62/73/chimole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/35/62/7c/pollo-en-pelotas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/cd/29/63/chickin-wings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/cd/29/61/nachos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/35/61/47/buffalo-chickin-wings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/c6/69/d2/burnout-smokin.jpg']"
6,7. New York Burger San German,American,"['https://media-cdn.tripadvisor.com/media/photo-f/16/f7/e9/3f/new-york-kids-hamburguesa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f7/e9/3b/new-york-steak-a-la-parrilla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f4/65/79/meat-packing-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f7/e3/b6/new-york-burger-san-german.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/80/63/53/new-york-burger.jpg']"
7,8. Foodtruck,American,"['https://media-cdn.tripadvisor.com/media/photo-f/07/02/16/dd/espectacular.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/43/42/58/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/43/42/54/photo0jpg.jpg']"
8,9. Steak Burger Fuencarral,American,"['https://media-cdn.tripadvisor.com/media/photo-f/16/97/ba/ed/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/5a/1b/00/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/97/b9/18/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/97/b9/e6/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/97/b6/84/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/22/25/44/ahora-y-durante-todo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/97/b6/fc/steakburger-fuencarral.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/22/25/44/ahora-y-durante-todo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/97/b6/fc/steakburger-fuencarral.jpg']"
9,10. New York Burger Castellana,American,"['https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e8/18/ny-kids.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e8/0f/costilla-black-angus.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e7/40/ny-steak.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e8/1b/oreo-chocolate-cake.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e7/47/tacos-de-pulled-pork.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e7/52/harlem.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e9/cf/nyb-castellana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/eb/a6/c4/local-new-york-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/e9/cf/nyb-castellana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/eb/a6/c4/local-new-york-burger.jpg']"
10,11. New York Burger Recoletos,American,"['https://media-cdn.tripadvisor.com/media/photo-f/17/45/9a/b9/harlem.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/45/9a/69/oreo-choco-cake.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/45/9a/95/costilla-angus-black.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/45/9a/6e/ny-kids.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/eb/90/d0/local-new-york-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/45/92/ee/new-york-burger-recoletos.jpg']"
