,name,type,urls
0,1. b Restaurant,American,/Restaurant_Review-g187497-d12980226-Reviews-B_Restaurant-Barcelona_Catalonia.html
1,2. CocoVail Beer Hall,American,/Restaurant_Review-g187497-d10744808-Reviews-CocoVail_Beer_Hall-Barcelona_Catalonia.html
2,3. Big Al's American Kitchen,American,/Restaurant_Review-g187497-d8651926-Reviews-Big_Al_s_American_Kitchen-Barcelona_Catalonia.html
3,4. Anauco Barcelona,American,/Restaurant_Review-g187497-d3708859-Reviews-Anauco_Barcelona-Barcelona_Catalonia.html
4,5. Soda Bus,American,/Restaurant_Review-g187497-d4889000-Reviews-Soda_Bus-Barcelona_Catalonia.html
5,6. Red Garter Barcelona,American,/Restaurant_Review-g187497-d12795433-Reviews-Red_Garter_Barcelona-Barcelona_Catalonia.html
6,7. Little Bacoa,American,/Restaurant_Review-g187497-d1821509-Reviews-Little_Bacoa-Barcelona_Catalonia.html
7,8. National Burger Steak house,American,/Restaurant_Review-g187497-d8782287-Reviews-National_Burger_Steak_house-Barcelona_Catalonia.html
8,9. Brunch & Bakery,American,/Restaurant_Review-g187497-d21094787-Reviews-Brunch_Bakery-Barcelona_Catalonia.html
9,10. The Ranch Smokehouse,American,/Restaurant_Review-g187497-d16831485-Reviews-The_Ranch_Smokehouse-Barcelona_Catalonia.html
10,11. Hard Rock Cafe,American,/Restaurant_Review-g187497-d913500-Reviews-Hard_Rock_Cafe-Barcelona_Catalonia.html
11,12. BRO Room,American,/Restaurant_Review-g187497-d10079494-Reviews-BRO_Room-Barcelona_Catalonia.html
12,13. Bocca di Bonifacio,American,/Restaurant_Review-g187497-d8707418-Reviews-Bocca_di_Bonifacio-Barcelona_Catalonia.html
13,14. Timesburg Paris,American,/Restaurant_Review-g187497-d4569129-Reviews-Timesburg_Paris-Barcelona_Catalonia.html
14,15. La Real Hamburgueseria,American,/Restaurant_Review-g187497-d12443002-Reviews-La_Real_Hamburgueseria-Barcelona_Catalonia.html
15,16. Fat Barbies,American,/Restaurant_Review-g187497-d16805008-Reviews-Fat_Barbies-Barcelona_Catalonia.html
16,17. El Desvan,American,/Restaurant_Review-g187497-d12695194-Reviews-El_Desvan-Barcelona_Catalonia.html
17,18. Makamaka,American,/Restaurant_Review-g187497-d3519081-Reviews-Makamaka-Barcelona_Catalonia.html
18,19. Panam '75,American,/Restaurant_Review-g187497-d5772959-Reviews-Panam_75-Barcelona_Catalonia.html
19,20. Belushi's,American,/Restaurant_Review-g187497-d3632766-Reviews-Belushi_s-Barcelona_Catalonia.html
20,21. Chivuo's Gracia Slow Street Food & Craft Beer,American,/Restaurant_Review-g187497-d7014721-Reviews-Chivuo_s_Gracia_Slow_Street_Food_Craft_Beer-Barcelona_Catalonia.html
21,22. Foc i Oli Aribau,American,/Restaurant_Review-g187497-d4091047-Reviews-Foc_i_Oli_Aribau-Barcelona_Catalonia.html
22,23. 99% MotoBar,American,/Restaurant_Review-g187497-d4163814-Reviews-99_MotoBar-Barcelona_Catalonia.html
23,24. New York Burger  Calle Pelayo,American,/Restaurant_Review-g187497-d20266937-Reviews-New_York_Burger_Calle_Pelayo-Barcelona_Catalonia.html
24,25. Machaka Burger,American,/Restaurant_Review-g187497-d23222752-Reviews-Machaka_Burger-Barcelona_Catalonia.html
25,26. Chill Bar Barcelona,American,/Restaurant_Review-g187497-d1945669-Reviews-Chill_Bar_Barcelona-Barcelona_Catalonia.html
26,27. Five Guys,American,/Restaurant_Review-g187497-d14049305-Reviews-Five_Guys-Barcelona_Catalonia.html
27,28. RARE burgers & more,American,/Restaurant_Review-g187497-d12480999-Reviews-RARE_burgers_more-Barcelona_Catalonia.html
28,29. The dog is hot,American,/Restaurant_Review-g187497-d2095346-Reviews-The_dog_is_hot-Barcelona_Catalonia.html
29,30. Babol Burguer,American,/Restaurant_Review-g187497-d7725573-Reviews-Babol_Burguer-Barcelona_Catalonia.html
30,31. Santa Burg Eixample,American,/Restaurant_Review-g187497-d10174815-Reviews-Santa_Burg_Eixample-Barcelona_Catalonia.html
31,32. La Central Hamburgueseria - Born,American,/Restaurant_Review-g187497-d17168821-Reviews-La_Central_Hamburgueseria_Born-Barcelona_Catalonia.html
32,33. Dr. Beer & Mr. Fried,American,/Restaurant_Review-g187497-d16663189-Reviews-Dr_Beer_Mr_Fried-Barcelona_Catalonia.html
33,34. Foc i Oli,American,/Restaurant_Review-g187497-d19451969-Reviews-Foc_i_Oli-Barcelona_Catalonia.html
34,35. Inka Burg,American,/Restaurant_Review-g187497-d4314750-Reviews-Inka_Burg-Barcelona_Catalonia.html
35,36. Five Guys,American,/Restaurant_Review-g187497-d18970823-Reviews-Five_Guys-Barcelona_Catalonia.html
36,37. Barba-Rossa Beach Bar Born,American,/Restaurant_Review-g187497-d8645754-Reviews-Barba_Rossa_Beach_Bar_Born-Barcelona_Catalonia.html
37,38. L’Empanat,American,/Restaurant_Review-g187497-d5123224-Reviews-L_Empanat-Barcelona_Catalonia.html
38,39. La Sagrada Bcn,American,/Restaurant_Review-g187497-d23711096-Reviews-La_Sagrada_Bcn-Barcelona_Catalonia.html
39,40. Brunch Market,American,/Restaurant_Review-g187497-d19284613-Reviews-Brunch_Market-Barcelona_Catalonia.html
40,41. B Burger,American,/Restaurant_Review-g187497-d2470800-Reviews-B_Burger-Barcelona_Catalonia.html
41,42. Figaro,American,/Restaurant_Review-g187497-d3186145-Reviews-Figaro-Barcelona_Catalonia.html
42,43. Boceto,American,/Restaurant_Review-g187497-d24043569-Reviews-Boceto-Barcelona_Catalonia.html
43,44. Metropolitan Cafe,American,/Restaurant_Review-g187497-d13546665-Reviews-Metropolitan_Cafe-Barcelona_Catalonia.html
44,45. Bar Centro Burgers & Craft Beer,American,/Restaurant_Review-g187497-d6778563-Reviews-Bar_Centro_Burgers_Craft_Beer-Barcelona_Catalonia.html
45,46. O.K. Sarria,American,/Restaurant_Review-g187497-d1016775-Reviews-O_K_Sarria-Barcelona_Catalonia.html
46,47. La Roneria,American,/Restaurant_Review-g187497-d21297170-Reviews-La_Roneria-Barcelona_Catalonia.html
47,48. Timesburg Sants,American,/Restaurant_Review-g187497-d8381283-Reviews-Timesburg_Sants-Barcelona_Catalonia.html
48,49. Burger World Bcn,American,/Restaurant_Review-g187497-d20056272-Reviews-Burger_World_Bcn-Barcelona_Catalonia.html
49,50. Lux&Burg,American,/Restaurant_Review-g187497-d12996244-Reviews-Lux_Burg-Barcelona_Catalonia.html
50,51. El Club De La Hamburguesa,American,/Restaurant_Review-g187497-d3163738-Reviews-El_Club_De_La_Hamburguesa-Barcelona_Catalonia.html
51,52. La Vespa Burger Bar,American,/Restaurant_Review-g187497-d3668516-Reviews-La_Vespa_Burger_Bar-Barcelona_Catalonia.html
52,53. Goiko - Calvet 14,American,/Restaurant_Review-g187497-d13372784-Reviews-Goiko_Calvet_14-Barcelona_Catalonia.html
53,54. Santa Burg,American,/Restaurant_Review-g187497-d3162204-Reviews-Santa_Burg-Barcelona_Catalonia.html
54,55. Showroom Fashion Food,American,/Restaurant_Review-g187497-d23923401-Reviews-Showroom_Fashion_Food-Barcelona_Catalonia.html
55,56. Rufian,American,/Restaurant_Review-g187497-d8117493-Reviews-Rufian-Barcelona_Catalonia.html
56,57. Lagarto Food & Drinks,American,/Restaurant_Review-g187497-d23409221-Reviews-Lagarto_Food_Drinks-Barcelona_Catalonia.html
57,58. La Informal,American,/Restaurant_Review-g187497-d5483071-Reviews-La_Informal-Barcelona_Catalonia.html
58,59. Hideout Burger,American,/Restaurant_Review-g187497-d17839557-Reviews-Hideout_Burger-Barcelona_Catalonia.html
59,60. Hideout Burger,American,/Restaurant_Review-g187497-d24025380-Reviews-Hideout_Burger-Barcelona_Catalonia.html
60,61. Mezze,American,/Restaurant_Review-g187497-d10895044-Reviews-Mezze-Barcelona_Catalonia.html
61,62. Bocatta,American,/Restaurant_Review-g187497-d998006-Reviews-Bocatta-Barcelona_Catalonia.html
62,63. Viena,American,/Restaurant_Review-g187497-d20090694-Reviews-Viena-Barcelona_Catalonia.html
63,64. Cent % BurgerBar,American,/Restaurant_Review-g187497-d6788387-Reviews-Cent_BurgerBar-Barcelona_Catalonia.html
64,65. Moica Burger,American,/Restaurant_Review-g187497-d14972314-Reviews-Moica_Burger-Barcelona_Catalonia.html
65,66. Timesburg Fabra i Puig,American,/Restaurant_Review-g187497-d13742933-Reviews-Timesburg_Fabra_i_Puig-Barcelona_Catalonia.html
66,67. Chick's Burger Bar,American,/Restaurant_Review-g187497-d14961829-Reviews-Chick_s_Burger_Bar-Barcelona_Catalonia.html
67,68. Chivuo's Poblenou,American,/Restaurant_Review-g187497-d23914505-Reviews-Chivuo_s_Poblenou-Barcelona_Catalonia.html
68,69. Otto's House,American,/Restaurant_Review-g187497-d15562178-Reviews-Otto_s_House-Barcelona_Catalonia.html
69,70. Master Grill,American,/Restaurant_Review-g187497-d15362458-Reviews-Master_Grill-Barcelona_Catalonia.html
70,71. Billy Brunch & Garden,American,/Restaurant_Review-g187497-d21339906-Reviews-Billy_Brunch_Garden-Barcelona_Catalonia.html
