,name,type,url_pics
0,1. Mu! El Placer De La Carne,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/09/b4/a1/87/getlstd-property-photo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a8/01/8e/2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/a8/01/aa/6.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a8/01/a1/4.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a8/01/ac/7.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a8/01/8c/1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a8/01/9b/3.jpg']"
1,2. La Vaca Argentina Ventura,Argentinean,['https://media-cdn.tripadvisor.com/media/photo-f/22/cb/e1/d0/pide-tus-carnes-fileteadas.jpg']
2,3. Empanadas Malvon,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/16/2a/26/ff/exposicion.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/81/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/5e/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/cb/a4/25/empanadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/46/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/05/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/a9/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/5c/fc/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/16/2a/2d/05/espinacas.jpg']"
3,4. Pampa Beef,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/07/c5/09/fc/burguer.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/73/da/bf/pampa-beef.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/73/da/c3/pampa-beef.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/73/da/be/pampa-beef.jpg']"
4,5. Empanadas Malvon,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-s/15/6c/16/1a/roquefort-y-pera.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/6c/16/04/variadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/29/d9/e5/pollo-a-la-cerveza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/6c/18/c7/provolone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/29/da/11/costillas-barbacoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/6c/14/e4/queso-y-cebolla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/6c/16/60/pollo-a-la-cerveza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/6c/15/fc/humita.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/29/d9/b5/humita.jpg']"
5,6. Empanadas Malvon,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/25/empanada-malvon-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/23/empanada-carne-suave.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/1e/empanada-cheese-bacon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/19/empanada-costillas-bbq.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/0c/empanada-cochinita.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/0b/empanada-carne-picante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/0a/empanada-pollo-bbq.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/08/empanada-pollo-thai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fc/00/empanada-carne-suave.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/d4/fb/fb/empanada-atun.jpg']"
6,7. Empanadas Malvon,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/18/10/58/4e/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/cb/a1/d6/empanadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/cb/a1/ec/empanadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/59/20/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/58/8d/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/58/76/empanadas-malvon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/10/58/9b/empanadas-malvon.jpg']"
7,8. Empanadas Malvon,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/e9/empanada-trufa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/e6/empanada-malvon-burger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/d8/empanada-carne-suave.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/cb/empanada-cheese-bacon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/c7/empanada-costillas-bbq.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/c6/empanada-carne-picante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/c5/empanada-cochinita.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/c4/empanada-caprese.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c6/63/c2/empanada-pollo-bbq.jpg']"
8,9. Mu! El Placer De La Carne,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/e0/41/4c/mu-el-placer-de-la-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/bc/22/a0/mu-el-placer-de-la-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e0/41/4d/mu-el-placer-de-la-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/bf/ba/9f/mu-el-placer-de-la-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bf/ba/9e/mu-el-placer-de-la-carne.jpg']"
9,10. El Camoati,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/11/9e/f0/93/noquis-con-tuco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9e/f0/6f/camoati9.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9f/0d/74/camoati.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9e/f3/71/margaritas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/65/f9/0d/camoati.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9e/f3/8a/panqueque-de-dulce-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9e/f0/b8/verduras-trilladas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/9f/0d/44/empanadas-argentinas.jpg']"
