,name,type,url_pics
0,1. Argentinisimo,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-s/14/5d/f6/e1/vacio.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/5d/f6/dc/asado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/c8/8f/46/mesas-dulces.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/c8/8f/2c/mesas-dulces.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/15/b7/6b/cordobesa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/73/f0/00/argentinisimo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/5d/f6/ed/bs-as.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/5d/f6/e0/colita-de-cuadril.jpg']"
1,2. Buenos Aires Grill Restaurant,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/4b/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/11/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/43/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/06/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/21/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/e0/2e/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d2/df/f7/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/98/05/fc/buenos-aires-grill-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/9c/93/ec/buenos-aires-grill-restaurant.jpg']"
2,3. Restaurante Parrilla Alfonsina,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/0b/21/c8/c6/gramajo-plato-parecido.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/4c/a5/20/img-20180311-133750-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/eb/0f/95/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/63/4d/98/empanadas-inconfundibles.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/26/20/a1/img-20171030-171108-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/f2/5b/34/img-20170719-wa0011-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/f2/5b/34/img-20170719-wa0011-largejpg.jpg']"
3,4. Patagonia Beef & Wine,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/13/46/2e/82/mix-and-match-your-steak.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/3c/ee/5c/our-empanadas-are-one.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/46/2e/7d/tasting-sampler-of-traditional.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/3c/ee/9a/one-of-a-kind-argentinean.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/3c/ee/93/mouth-watering-steaks.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/3c/ee/93/mouth-watering-steaks.jpg']"
4,5. La Fabrica (Empanadas Argentinas),Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/82/e6/1d/pierogi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/82/e6/14/pierog.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/1d/13/04/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/57/92/80/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/1d/13/09/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/00/86/0f/la-fabrica-empanadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/2b/29/80/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/1d/13/06/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/7b/e5/37/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/2b/29/80/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/1d/13/06/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/7b/e5/37/caption.jpg']"
5,6. Ayres del Sur,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/92/51/67/entrana-de-ternera-la.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/92/51/54/empanadas-criollas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/92/51/6f/lubina-a-las-brasas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/92/4d/ff/hamburguesa-black-angus.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/81/af/75/ayres-del-sur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/92/4d/e4/parrillada-de-verduras.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/81/af/60/ayres-del-sur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/26/d3/e7/empanada-criolla.jpg']"
6,7. Mi Gracia,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/46/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/56/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/a0/d0/8b/filename-migracia-mg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/8b/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/ae/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/64/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/6b/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/64/mi-gracia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/f1/72/6b/mi-gracia.jpg']"
7,8. 9 Reinas Barcelona,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/21/cf/3f/30/carnes-a-la-brasa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/3f/1a/un-escenario-agradable.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/3f/19/seleccion-de-piezas-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/b1/0d/a8/costillar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/3f/22/detalle-de-nuestra-gastronomia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/3f/36/empanadas-criollas-autenticas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/10/07/77/9-reinas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/10/06/91/9-reinas.jpg']"
8,9. Pampero,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/0a/60/69/7b/hemos-cenado-con-mi-amiga.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/e5/98/48/mixed-grilled-meat-yum.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/ac/ee/61/mollejas-mitad-ya-comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/3b/33/ed/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/0e/f0/92/20191109-231736-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/02/2e/76/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/0d/ef/65/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/0d/ef/65/photo2jpg.jpg']"
9,10. Rekons,Argentinean,"['https://media-cdn.tripadvisor.com/media/photo-f/09/f8/a0/0a/ideas-para-picnic-2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/47/4b/3b/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/6a/16/8a/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/47/4c/20/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/6a/15/f0/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/47/4b/fb/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/47/4b/b4/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/6a/16/20/rekons.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/6a/15/bd/rekons.jpg']"
