,name,type,url_pics
0,1. Son Hao,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0f/b6/86/43/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/26/e1/2d/son-hao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/4f/8e/c3/lunch.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/7e/ac/24/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/23/91/e7/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/6a/77/21/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/23/91/e9/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/2f/64/67/photo0jpg.jpg']"
1,2. Restaurant MIAN,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/0a/5c/9c/70/beef-noodle-soup.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/87/fe/sichuan-spicy-oil-potato.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/91/d6/green-tea-dessert-assortment.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/9c/6b/chocolate-truffles-ginger.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/64/d4/e9/pato-congbao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/8c/4b/seaweed-salad.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/88/01/zhu-pao-house-speciality.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/87/f7/niu-rou-la-mian-ramen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/5c/8c/4e/wok-of-homemade-fresh.jpg']"
2,3. Out of China,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/17/b9/74/9a/saquitos-crujientes-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f6/55/01/fideos-udon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f4/17/25/pollo-kongbao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/b9/6d/b7/cazuela-de-gambas-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f6/54/f8/sauitos-verdura.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f4/1a/6c/entrantes.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f6/86/65/curry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f4/1a/6c/entrantes.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f6/86/65/curry.jpg']"
3,4. Melo-Jia,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/15/d0/9e/ad/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/0d/3d/3b/9b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/51/55/c9/buenisimo.jpg']"
4,5. Spicy Soul HotPot,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/03/d0/2f/ternera-fresca.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/0f/e3/e0/hot-pot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/03/d0/31/granizados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/0f/e4/5c/hot-pot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/0f/e3/77/hot-pot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/0f/e4/33/hot-pot.jpg']"
5,6. Chen Ji,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0c/e4/01/ae/chen-ji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0f/96/29/img-20200921-145645-largejpg.jpg']"
6,7. Restaurante Chino Hoy,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/49/3c/71/wonton-frito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/49/3c/74/ternera-a-la-plancha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/49/3c/75/ternera-a-la-plancha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/49/3c/72/tallarines-con-langostinos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/49/3c/73/arroz-tres-delicias.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/53/f5/e8/ibuenas-noticias.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/49/3c/70/empanadillas-al-vapor.jpg']"
7,8. Memorias de China,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/1b/a8/0d/a7/langostinos-a-la-sal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/a7/d9/7b/el-interior-del-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/a8/0d/a6/pato-laqueado-a-la-pekinesa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/a7/d9/80/con-nuestra-cocina-a.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/09/f6/b0/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/09/f6/af/photo1jpg.jpg']"
8,9. Rio Dragon,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/03/fa/05/47/rio-dragon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/5f/a3/d7/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/55/ee/6c/dsc-3121-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/5c/c2/bf/tallarines-manchuria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/fd/8a/21/photo0jpg.jpg']"
9,10. Rio Azul,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/13/07/c5/2f/costillas-de-cerdo-asadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/bf/48/37/el-rio-azul.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/bf/48/24/el-rio-azul.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/07/c9/7b/pato-pekin.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/07/c4/04/bolas-de-sesamo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/bf/48/40/el-rio-azul.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/13/07/c5/33/pato-asado-estilo-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/bf/48/3c/el-rio-azul.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/13/07/c5/33/pato-asado-estilo-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/bf/48/3c/el-rio-azul.jpg']"
