,name,type,url_pics
0,1. Restaurante de Sichuan,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0b/e7/79/43/restaurante-de-sichuan.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/7f/9f/e1/lubina-douban.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/88/71/cf/loncha-de-ternera-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/88/71/cc/conejo-al-naranja.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/88/71/d8/pollo-ban-ban.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/88/71/cb/ternera-seca-con-picante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/7f/9e/b6/cazuela-de-rabo-de-toro.jpg']"
1,2. CHILA,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/93/dorada-frita-al-tofu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/b2/arroz-frito-con-verdura.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/bb/trozo-de-lubina-con-salsa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/84/carne-jugosa-de-cabeza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/95/cuenco-del-campo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/ab/taro-con-salsa-de-guindillas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/98/gambas-sin-cabeza-en.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/b6/pincho-de-gambas-frescas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a4/e9/7d/tofu-casero.jpg']"
2,3. Royal Cantones,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/03/af/6d/e6/royal-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/af/69/ef/royal-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/af/69/e2/royal-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/af/69/fa/royal-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/af/6d/d4/royal-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/cc/2b/6e/lomlo-de-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/28/51/img-20210124-wa0012-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c1/ad/6e/img-20210318-144635-largejpg.jpg']"
3,4. Dim Sum Market,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/13/e7/71/06/shumai-de-pollo-con-queso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/5a/a4/ac/rollitos-de-calamares.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/5a/a4/4c/shumai-de-langostinos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/5a/a4/8d/ravioli-de-pescado-estilo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/5a/a4/56/ravioli-vegetal.jpg']"
4,5. Tse-Yang,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/50/b0/ce/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/94/6e/51/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ec/f3/9c/tse-yang.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/7e/fb/ea/photo1jpg.jpg']"
5,6. Casa Lafu Restaurante,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/08/d7/81/e0/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/d7/81/0f/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/d7/80/e8/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/d7/81/70/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/d7/81/c2/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/d7/81/c8/casa-lafu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/b3/e5/d4/dongpo-meat.jpg']"
6,7. El Bund,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/17/f4/1a/a9/tapita-de-sepia-cuttlefish.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/9c/03/98/ensalada-de-tofu-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/26/da/55/almejas-con-wasabi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f4/1f/77/ternera-con-cinco-especias.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f4/1b/a0/lomo-de-cerdo-agridulce.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/f5/77/6a/gran-variedad-de-platos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f4/1a/f3/lubina-al-estilo-shanghaines.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f4/1f/b7/sopa-de-ternera-con-hojaldre.jpg']"
7,8. El Buda Feliz,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/17/c6/79/eb/pollo-al-limon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/73/f2/15/sala-foto-c-de-erlantz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/c6/78/86/un-comedor-muy-agradable.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/c6/7a/db/brocheta-de-setas.jpg']"
8,9. Sanghai Mama,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/10/7f/72/a5/tofu-relleno-de-panceta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/b8/eb/35/restaurante-shanghai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/c9/5a/68/mini-torre-de-xialongbao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/c9/65/d2/mapo-tofu-picante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/c9/65/95/coral-de-lubina-en-salsa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/7f/71/e5/xio-mai-relleno-de-gambas.jpg']"
9,10. Kzen,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/03/25/0f/21/kzen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/34/1d/61/udo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/25/0f/78/kzen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/1c/80/af/kzen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/34/14/3e/fideos-arroz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/25/0f/7f/kzen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/34/17/a2/tempura-fritos.jpg']"
