,name,type,urls
0,1. Son Hao,Argentinean,/Restaurant_Review-g187497-d1113715-Reviews-Son_Hao-Barcelona_Catalonia.html
1,2. Restaurant MIAN,Argentinean,/Restaurant_Review-g187497-d9741980-Reviews-Restaurant_MIAN-Barcelona_Catalonia.html
2,3. Out of China,Argentinean,/Restaurant_Review-g187497-d751586-Reviews-Out_of_China-Barcelona_Catalonia.html
3,4. Melo-Jia,Argentinean,/Restaurant_Review-g187497-d6109054-Reviews-Melo_Jia-Barcelona_Catalonia.html
4,5. Spicy Soul HotPot,Argentinean,/Restaurant_Review-g187497-d20070156-Reviews-Spicy_Soul_HotPot-Barcelona_Catalonia.html
5,6. Chen Ji,Argentinean,/Restaurant_Review-g187497-d2691999-Reviews-Chen_Ji-Barcelona_Catalonia.html
6,7. Restaurante Chino Hoy,Argentinean,/Restaurant_Review-g187497-d802968-Reviews-Restaurante_Chino_Hoy-Barcelona_Catalonia.html
7,8. Memorias de China,Argentinean,/Restaurant_Review-g187497-d2037689-Reviews-Memorias_de_China-Barcelona_Catalonia.html
8,9. Rio Dragon,Argentinean,/Restaurant_Review-g187497-d3935620-Reviews-Rio_Dragon-Barcelona_Catalonia.html
9,10. Rio Azul,Argentinean,/Restaurant_Review-g187497-d997235-Reviews-Rio_Azul-Barcelona_Catalonia.html
10,11. Tien Tsing Restaurante Chino,Argentinean,/Restaurant_Review-g187497-d986468-Reviews-Tien_Tsing_Restaurante_Chino-Barcelona_Catalonia.html
11,12. Fan Dim Sum,Argentinean,/Restaurant_Review-g187497-d15234223-Reviews-Fan_Dim_Sum-Barcelona_Catalonia.html
12,13. L' Olla de Si Chuan,Argentinean,/Restaurant_Review-g187497-d1574308-Reviews-L_Olla_de_Si_Chuan-Barcelona_Catalonia.html
13,14. Shanghai Stories,Argentinean,/Restaurant_Review-g187497-d16805462-Reviews-Shanghai_Stories-Barcelona_Catalonia.html
14,15. Restaurante China Crown Barcelona,Argentinean,/Restaurant_Review-g187497-d16857053-Reviews-Restaurante_China_Crown_Barcelona-Barcelona_Catalonia.html
15,16. Mosquito,Argentinean,/Restaurant_Review-g187497-d1230332-Reviews-Mosquito-Barcelona_Catalonia.html
16,17. Shanghai,Argentinean,/Restaurant_Review-g187497-d717408-Reviews-Shanghai-Barcelona_Catalonia.html
17,18. Chi Nanit,Argentinean,/Restaurant_Review-g187497-d15210898-Reviews-Chi_Nanit-Barcelona_Catalonia.html
18,19. Yue Lai,Argentinean,/Restaurant_Review-g187497-d15687693-Reviews-Yue_Lai-Barcelona_Catalonia.html
19,20. Restaurante Ta-Tung,Argentinean,/Restaurant_Review-g187497-d3137233-Reviews-Restaurante_Ta_Tung-Barcelona_Catalonia.html
20,21. YingBin Bar-Restaurante,Argentinean,/Restaurant_Review-g187497-d3982907-Reviews-YingBin_Bar_Restaurante-Barcelona_Catalonia.html
21,22. He Cheng,Argentinean,/Restaurant_Review-g187497-d2360816-Reviews-He_Cheng-Barcelona_Catalonia.html
22,23. Restaurante Macao,Argentinean,/Restaurant_Review-g187497-d5865146-Reviews-Restaurante_Macao-Barcelona_Catalonia.html
23,24. cuina xinesa Tradicional,Argentinean,/Restaurant_Review-g187497-d12948734-Reviews-Cuina_xinesa_Tradicional-Barcelona_Catalonia.html
24,25. La Taberna China,Argentinean,/Restaurant_Review-g187497-d12925246-Reviews-La_Taberna_China-Barcelona_Catalonia.html
25,26. Vaho,Argentinean,/Restaurant_Review-g187497-d15805389-Reviews-Vaho-Barcelona_Catalonia.html
26,27. Restaurante Chino Gracia,Argentinean,/Restaurant_Review-g187497-d4227693-Reviews-Restaurante_Chino_Gracia-Barcelona_Catalonia.html
27,28. Yotcha!,Argentinean,/Restaurant_Review-g187497-d12532964-Reviews-Yotcha-Barcelona_Catalonia.html
28,29. Restaurante Pato Pekin,Argentinean,/Restaurant_Review-g187497-d997384-Reviews-Restaurante_Pato_Pekin-Barcelona_Catalonia.html
