,name,type,urls
0,1. Restaurante de Sichuan,Argentinean,/Restaurant_Review-g187514-d9721997-Reviews-Restaurante_de_Sichuan-Madrid.html
1,2. CHILA,Argentinean,/Restaurant_Review-g187514-d19888523-Reviews-CHILA-Madrid.html
2,3. Royal Cantones,Argentinean,/Restaurant_Review-g187514-d2024342-Reviews-Royal_Cantones-Madrid.html
3,4. Dim Sum Market,Argentinean,/Restaurant_Review-g187514-d7994703-Reviews-Dim_Sum_Market-Madrid.html
4,5. Tse-Yang,Argentinean,/Restaurant_Review-g187514-d718428-Reviews-Tse_Yang-Madrid.html
5,6. Casa Lafu Restaurante,Argentinean,/Restaurant_Review-g187514-d8122521-Reviews-Casa_Lafu_Restaurante-Madrid.html
6,7. El Bund,Argentinean,/Restaurant_Review-g187514-d1838840-Reviews-El_Bund-Madrid.html
7,8. El Buda Feliz,Argentinean,/Restaurant_Review-g187514-d751619-Reviews-El_Buda_Feliz-Madrid.html
8,9. Sanghai Mama,Argentinean,/Restaurant_Review-g187514-d12220496-Reviews-Sanghai_Mama-Madrid.html
9,10. Kzen,Argentinean,/Restaurant_Review-g187514-d2484681-Reviews-Kzen-Madrid.html
10,11. El Rincon De Pangpang,Argentinean,/Restaurant_Review-g187514-d8723771-Reviews-El_Rincon_De_Pangpang-Madrid.html
11,12. Biang Biang Bar,Argentinean,/Restaurant_Review-g187514-d17652668-Reviews-Biang_Biang_Bar-Madrid.html
12,13. Chan Street,Argentinean,/Restaurant_Review-g187514-d11774992-Reviews-Chan_Street-Madrid.html
13,14. Yue Lai,Argentinean,/Restaurant_Review-g187514-d3774132-Reviews-Yue_Lai-Madrid.html
14,15. MIN 1947,Argentinean,/Restaurant_Review-g187514-d22848763-Reviews-MIN_1947-Madrid.html
15,16. Restaurante China Crown Madrid,Argentinean,/Restaurant_Review-g187514-d21250319-Reviews-Restaurante_China_Crown_Madrid-Madrid.html
16,17. Hunan Restaurant,Argentinean,/Restaurant_Review-g187514-d15082541-Reviews-Hunan_Restaurant-Madrid.html
17,18. Hong Kong Kitchen,Argentinean,/Restaurant_Review-g187514-d15066015-Reviews-Hong_Kong_Kitchen-Madrid.html
18,19. Ni Hao Arturo Soria,Argentinean,/Restaurant_Review-g187514-d990909-Reviews-Ni_Hao_Arturo_Soria-Madrid.html
19,20. RESTAURANTE Buen Gusto,Argentinean,/Restaurant_Review-g187514-d806802-Reviews-RESTAURANTE_Buen_Gusto-Madrid.html
20,21. China Te,Argentinean,/Restaurant_Review-g187514-d814032-Reviews-China_Te-Madrid.html
21,22. Kung Fu Bar Restaurante,Argentinean,/Restaurant_Review-g187514-d7141009-Reviews-Kung_Fu_Bar_Restaurante-Madrid.html
22,23. Long Tu,Argentinean,/Restaurant_Review-g187514-d991013-Reviews-Long_Tu-Madrid.html
23,24. Tangchu,Argentinean,/Restaurant_Review-g187514-d14924394-Reviews-Tangchu-Madrid.html
24,25. Wok Garden Azca,Argentinean,/Restaurant_Review-g187514-d7714806-Reviews-Wok_Garden_Azca-Madrid.html
25,26. Restaurante Dong Feng,Argentinean,/Restaurant_Review-g187514-d13414492-Reviews-Restaurante_Dong_Feng-Madrid.html
26,27. Restaurante xiaoman,Argentinean,/Restaurant_Review-g187514-d12725586-Reviews-Restaurante_xiaoman-Madrid.html
27,28. Gran Hong Kong,Argentinean,/Restaurant_Review-g187514-d2078308-Reviews-Gran_Hong_Kong-Madrid.html
28,29. Lao Tou,Argentinean,/Restaurant_Review-g187514-d4609312-Reviews-Lao_Tou-Madrid.html
29,30. Ni Hao,Argentinean,/Restaurant_Review-g187514-d2371350-Reviews-Ni_Hao-Madrid.html
30,31. Restaurante Oriental Palace,Argentinean,/Restaurant_Review-g187514-d5796035-Reviews-Restaurante_Oriental_Palace-Madrid.html
31,32. Restaurante Thong,Argentinean,/Restaurant_Review-g187514-d2445203-Reviews-Restaurante_Thong-Madrid.html
32,33. Restaurante Wangwang,Argentinean,/Restaurant_Review-g187514-d5884481-Reviews-Restaurante_Wangwang-Madrid.html
33,34. Asia Te,Argentinean,/Restaurant_Review-g187514-d2096546-Reviews-Asia_Te-Madrid.html
34,35. Don Lay,Argentinean,/Restaurant_Review-g187514-d17839180-Reviews-Don_Lay-Madrid.html
35,36. Megu,Argentinean,/Restaurant_Review-g187514-d8559989-Reviews-Megu-Madrid.html
36,37. Sabor Sichuan,Argentinean,/Restaurant_Review-g187514-d9711619-Reviews-Sabor_Sichuan-Madrid.html
37,38. Empanadillas Los Tres Cerditos,Argentinean,/Restaurant_Review-g187514-d16667711-Reviews-Empanadillas_Los_Tres_Cerditos-Madrid.html
