,name,type,url_pics
0,Santa Rita,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/28/d3/2d/90/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/d2/9a/b3/caption.jpg']"
1,Latte&Farina,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/0b/a8/e1/latte-farina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/97/a6/c6/latte-farina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/bd/53/1f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/bd/53/20/caption.jpg']"
2,Giardino del Carmen,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/af/6a/1e/gambones-sobre-panzanella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/af/69/ff/costilla-de-ternera-giardino.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/f2/7b/caponata-y-panelle-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/af/6a/26/seada-giardino-del-carmen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/7a/7f/a2/platos-giardino-del-carmen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/af/6a/20/ensala-de-pollo-marinado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/af/6e/25/giardino-del-carmen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/7a/7c/e4/restaurante-giardino.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/af/6e/25/giardino-del-carmen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/7a/7c/e4/restaurante-giardino.jpg']"
3,El Garaje Foodie,American,"['https://media-cdn.tripadvisor.com/media/photo-f/22/12/a7/5d/pantalla-gigante-xxl.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/57/a5/fe/el-garaje-foodie.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/19/ba/25/el-garaje-street-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/ed/a4/f6/el-garaje-foodie.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/12/a7/51/burger-harley.jpg']"
4,Cafe De La Bourse,French,"['https://media-cdn.tripadvisor.com/media/photo-f/15/70/a6/d0/assis-confortablement.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/70/f2/69/bistrot-bar-a-vins-cafe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/cd/27/62/cafe-de-la-bourse.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/f2/01/e4/notre-cave-a-vins.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/61/f4/a3/menu-de-noel-foie-gras.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/61/f4/ae/menu-de-noel-lotte.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/cd/26/ea/cafe-de-la-bourse.jpg']"
5,Marinetta Mia,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/2e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/2c/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/2a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/29/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/21/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/22/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/c9/25/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/33/9f/6c/crunch-tirolese.jpg']"
6,The Orange Club,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/e1/44/a0/hamburguesa-padam-padam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e1/44/65/nuestra-hamburguesa-padam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c2/ae/a2/tarta-de-toblerone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/87/a1/a1/sopa-fria-de-chocolate.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/dc/28/2b/nuestras-bacon-cheese.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/f4/5b/a5/nuestra-hamburguesa-uncle.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/24/09/b7/03/las-que-no-puedes-dejar.jpg']"
7,Manaw - Nikkei Bar,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/19/61/a1/28/usuzukuri-de-toro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/61/a0/f3/puro-maguro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/61/a1/39/nigirs.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/61/a1/3f/ceviche-nikkei.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/71/29/91/ostra-con-maracuya.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/61/a0/e0/curry-con-pato.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/71/32/d7/fachada.jpg']"
8,San Tommaso,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/04/b8/e8/a2/salon-bajo-san-tommaso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/49/6e/c2/hamburguesa-casera-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/f6/0a/9a/san-tommaso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/3d/33/82/restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/67/40/25/pizza-4-formaggi-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/3c/82/58/salon-comedor-bajo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/aa/69/5b/gnocchi-al-pistacchio.jpg']"
9,Bajamarea,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/15/9f/03/36/alguno-de-nuestros-platos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/69/ad/f5/la-bomba-bajamarea-valenci.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/69/ad/e8/pizzeria-bajamarea.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/69/ad/ef/marisqueria-bajamarea.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/69/ad/ec/pulpo-a-la-plancha-bajamarea.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/32/29/39/la-bomba4-quesos-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/96/67/9a/nuestros-platos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/96/68/9c/pizza-prof.jpg']"
10,Marisqueria L'Odisea,Seafood,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/26/40/aa/gamba-roja-a-la-plancha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/26/3e/95/lubina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/3b/11/b7/puntilla-de-calamar-a.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/26/3f/c4/calamar-a-la-plancha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/26/3e/e8/calamar-rebozado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/3b/11/ca/tarta-de-citricos-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/3b/11/ba/tabla-de-quesos-internacionale.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/3b/11/b5/tataki-de-atun-rojo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/26/3d/5e/pulpo-a-la-brasa-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/26/40/64/calamar-rebozado.jpg']"
11,Kaikaya,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/ae/98/56/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/95/9b/31/kaikaya.jpg']"
12,Bar Cremaet,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/87/56/2a/cazon-en-adobo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/40/3a/ea/titaina-con-huevo-poche.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/40/3a/e7/croqueta-de-chuleton.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/40/3a/e9/coca-de-sardina-de-bota.jpg']"
13,Palao Bistrot Valencia,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/13/3c/40/a1/preparando-las-crespellas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/1a/5f/d6/tabla-mixta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/1a/5f/84/insalata-caprese.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/bd/70/5f/vitello-tonnato.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/bd/6e/a4/crespella.jpg']"
14,Terranova,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/91/0c/c6/take-away-diavola.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/56/0f/28/pasta-napole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/0c/bd/mini-pizzas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1e/24/b4/affettati-surtido-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/d2/94/fe/caponata.jpg']"
15,Burritos - Ramon Llull (Valencia),Mexican,"['https://media-cdn.tripadvisor.com/media/photo-s/15/87/04/5b/nachos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/87/05/78/yummy-como-te-gustan.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5b/e1/c7/los-ingredientes-frios.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5b/de/05/bowl-es-como-un-burrito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/87/02/97/estamos-en-ramon-llull.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/87/07/a8/logo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/5b/df/c5/nuestros-guacomole-es.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/87/02/97/estamos-en-ramon-llull.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/87/07/a8/logo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/5b/df/c5/nuestros-guacomole-es.jpg']"
16,Rincon 33,Seafood,"['https://media-cdn.tripadvisor.com/media/photo-f/09/f5/57/64/rincon-33.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/f5/57/63/rincon-33.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/04/a0/71/rincon-33.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/f5/57/62/rincon-33.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0e/a2/96/04/rincon-33.jpg']"
17,Saltimbocca,Italian,[]
18,AmaMi,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/18/a1/b8/df/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/ca/71/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/b9/e9/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/c0/06/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/bf/16/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/cd/0a/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9c/09/8c/bucatini-alla-amtriciana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/b7/7e/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/a1/c2/0c/amami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/a1/bb/05/amami.jpg']"
19,Restaurante Navarro,Seafood,"['https://media-cdn.tripadvisor.com/media/photo-f/06/01/a3/6a/navarro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/a2/b6/b7/comedor-salon-planta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/a2/19/86/salon-comedor-primera.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/19/79/f2/61/nuestra-terraza-en-calle.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/a2/19/a2/salon-comedor-planta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/a2/19/97/salon-comedor-planta.jpg']"
20,Spicy Soul Hot Pot,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/16/9e/06/e3/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/9e/06/e6/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/da/9a/4d/amigos-aqui-le-esperamos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/86/34/lomo-frito-ipruebalo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/83/ff/reserva-para-tu-hot-pot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/83/42/iya-es-hora-de-un-hot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/82/5a/ilos-postres-gratis-esperandot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/cf/82/5a/ilos-postres-gratis-esperandot.jpg']"
21,Pulpo,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/33/24/74/huevos-benedict.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/d1/f2/40/gran-seleccio-n-de-fiambres.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/6d/3a/68/tartar-de-atun.jpg']"
