,name,type,url_pics
0,1. Los Montes de Galicia,Spanish,/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html
1,2. Entre Santos Madrid,Spanish,/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
2,3. Brunchit Malasana,Spanish,/Restaurant_Review-g187514-d24123606-Reviews-Brunchit_Malasana-Madrid.html
3,4. Pituca Madrid,Spanish,/Restaurant_Review-g187514-d23524706-Reviews-Pituca_Madrid-Madrid.html
4,5. Restaurante La Gaditana,Spanish,/Restaurant_Review-g187514-d5787470-Reviews-Restaurante_La_Gaditana-Madrid.html
5,6. GastroVia 61,Spanish,/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html
6,7. Astral,Spanish,/Restaurant_Review-g187514-d991697-Reviews-Astral-Madrid.html
7,8. La descarada,Spanish,/Restaurant_Review-g187514-d14157996-Reviews-La_descarada-Madrid.html
8,9. Taberna el Sur,Spanish,/Restaurant_Review-g187514-d2527526-Reviews-Taberna_el_Sur-Madrid.html
9,10. La Mariterranea - Madrid,Spanish,/Restaurant_Review-g187514-d23994209-Reviews-La_Mariterranea_Madrid-Madrid.html
10,11. Cerveceria El Cano,Spanish,/Restaurant_Review-g187514-d16807647-Reviews-Cerveceria_El_Cano-Madrid.html
11,12. Taberna Mas Al Sur,Spanish,/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html
12,13. Azotea Forus Barcelo,Spanish,/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html
13,14. Eiffel,Spanish,/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html
14,15. Taberna 4 Tapas,Spanish,/Restaurant_Review-g187514-d23378462-Reviews-Taberna_4_Tapas-Madrid.html
15,16. El Sur de Huertas,Spanish,/Restaurant_Review-g187514-d14109792-Reviews-El_Sur_de_Huertas-Madrid.html
16,17. Txirimiri Pardinas,Spanish,/Restaurant_Review-g187514-d10194091-Reviews-Txirimiri_Pardinas-Madrid.html
17,18. El Cocodrilo,Spanish,/Restaurant_Review-g187514-d8714073-Reviews-El_Cocodrilo-Madrid.html
18,19. Metro Bistro - Plaza Mayor,Spanish,/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html
19,20. Deleite Restaurante,Spanish,/Restaurant_Review-g187514-d13372393-Reviews-Deleite_Restaurante-Madrid.html
20,21. Inclan Brutal Bar,Spanish,/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html
21,22. La Gaditana Castellana,Spanish,/Restaurant_Review-g187514-d15364769-Reviews-La_Gaditana_Castellana-Madrid.html
22,23. Lola Si Mola,Spanish,/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html
23,24. Mano De Santa,Spanish,/Restaurant_Review-g187514-d23391409-Reviews-Mano_De_Santa-Madrid.html
24,25. Bombardino Cafe,Spanish,/Restaurant_Review-g187514-d10355629-Reviews-Bombardino_Cafe-Madrid.html
25,La Metixe. Taberna Mexicana,Spanish,/Restaurant_Review-g187514-d23935592-Reviews-La_Metixe_Taberna_Mexicana-Madrid.html
26,26. Sazon Arte,Spanish,/Restaurant_Review-g187514-d7285433-Reviews-Sazon_Arte-Madrid.html
27,27. Camino Sacramento,Spanish,/Restaurant_Review-g187514-d15184967-Reviews-Camino_Sacramento-Madrid.html
28,28. Moratin Vinoteca Bistrot,Spanish,/Restaurant_Review-g187514-d3669444-Reviews-Moratin_Vinoteca_Bistrot-Madrid.html
29,29. Restaurante Nuevo Horno de Santa Teresa,Spanish,/Restaurant_Review-g187514-d1953725-Reviews-Restaurante_Nuevo_Horno_de_Santa_Teresa-Madrid.html
30,30. Cebo,Spanish,/Restaurant_Review-g187514-d10428302-Reviews-Cebo-Madrid.html
31,31. Enklima,Spanish,/Restaurant_Review-g187514-d11870922-Reviews-Enklima-Madrid.html
32,32. La Piramide,Spanish,/Restaurant_Review-g187514-d2002073-Reviews-La_Piramide-Madrid.html
33,33. Rosi La Loca,Spanish,/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html
34,34. El Ponientazo,Spanish,/Restaurant_Review-g187514-d23755564-Reviews-El_Ponientazo-Madrid.html
35,35. Restaurante DCorazon,Spanish,/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_DCorazon-Madrid.html
36,36. The Market Madrid,Spanish,/Restaurant_Review-g187514-d5780943-Reviews-The_Market_Madrid-Madrid.html
37,37. El Tormo,Spanish,/Restaurant_Review-g187514-d697567-Reviews-El_Tormo-Madrid.html
38,38. Txirimiri Ferraz,Spanish,/Restaurant_Review-g187514-d3392741-Reviews-Txirimiri_Ferraz-Madrid.html
39,39. Bardero,Spanish,/Restaurant_Review-g187514-d23417306-Reviews-Bardero-Madrid.html
40,40. Bocadillos Oink,Spanish,/Restaurant_Review-g187514-d8007972-Reviews-Bocadillos_Oink-Madrid.html
41,41. Txirimiri Ibiza,Spanish,/Restaurant_Review-g187514-d7337343-Reviews-Txirimiri_Ibiza-Madrid.html
42,42. Meson Restaurante La Mi Venta,Spanish,/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html
43,43. Eatmytrip Brunch & Cocktails Madrid,Spanish,/Restaurant_Review-g187514-d20284702-Reviews-Eatmytrip_Brunch_Cocktails_Madrid-Madrid.html
44,44. Ramon Freixa Madrid,Spanish,/Restaurant_Review-g187514-d1810038-Reviews-Ramon_Freixa_Madrid-Madrid.html
45,45. Origen Taberna,Spanish,/Restaurant_Review-g187514-d6613386-Reviews-Origen_Taberna-Madrid.html
46,46. Vinitus Gran Via Madrid,Spanish,/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html
47,47. Meson Molinero,Spanish,/Restaurant_Review-g187514-d990935-Reviews-Meson_Molinero-Madrid.html
48,48. El Rincon del Cabo,Spanish,/Restaurant_Review-g187514-d12208439-Reviews-El_Rincon_del_Cabo-Madrid.html
49,49. Gandario,Spanish,/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html
50,50. Taberna de Paula,Spanish,/Restaurant_Review-g187514-d6701548-Reviews-Taberna_de_Paula-Madrid.html
51,51. Amordmadre,Spanish,/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html
52,52. Restaurante Etimo by Begona Fraire,Spanish,/Restaurant_Review-g187514-d13138415-Reviews-Restaurante_Etimo_by_Begona_Fraire-Madrid.html
53,53. El miniBAR,Spanish,/Restaurant_Review-g187514-d3688138-Reviews-El_miniBAR-Madrid.html
54,54. Casa Carola,Spanish,/Restaurant_Review-g187514-d991649-Reviews-Casa_Carola-Madrid.html
55,55. Dans Le Noir ?,Spanish,/Restaurant_Review-g187514-d12631693-Reviews-Dans_Le_Noir-Madrid.html
56,56. Adrede,Spanish,/Restaurant_Review-g187514-d3897393-Reviews-Adrede-Madrid.html
57,57. Don Dimas,Spanish,/Restaurant_Review-g187514-d23177691-Reviews-Don_Dimas-Madrid.html
58,58. Restaurante Morgana,Spanish,/Restaurant_Review-g187514-d12316948-Reviews-Restaurante_Morgana-Madrid.html
59,59. La Carbonera,Spanish,/Restaurant_Review-g187514-d8101133-Reviews-La_Carbonera-Madrid.html
60,60. Valdivieso Cocina Con Alma,Spanish,/Restaurant_Review-g187514-d7355625-Reviews-Valdivieso_Cocina_Con_Alma-Madrid.html
61,61. Restaurante Ablanedo,Spanish,/Restaurant_Review-g187514-d13113389-Reviews-Restaurante_Ablanedo-Madrid.html
62,62. The Spanish Farm,Spanish,/Restaurant_Review-g187514-d10077266-Reviews-The_Spanish_Farm-Madrid.html
63,63. La Taberna de Mister Pinkleton,Spanish,/Restaurant_Review-g187514-d3847118-Reviews-La_Taberna_de_Mister_Pinkleton-Madrid.html
64,64. Sessions,Spanish,/Restaurant_Review-g187514-d23462922-Reviews-Sessions-Madrid.html
65,65. RECREO Espartinas,Spanish,/Restaurant_Review-g187514-d10678592-Reviews-RECREO_Espartinas-Madrid.html
66,La Metixe. Taberna Mexicana,Spanish,/Restaurant_Review-g187514-d23935592-Reviews-La_Metixe_Taberna_Mexicana-Madrid.html
67,66. La Levantera,Spanish,/Restaurant_Review-g187514-d15328340-Reviews-La_Levantera-Madrid.html
68,67. Toga,Spanish,/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html
69,68. Divino Tinto,Spanish,/Restaurant_Review-g187514-d8727668-Reviews-Divino_Tinto-Madrid.html
70,69. Coque,Spanish,/Restaurant_Review-g187514-d12864731-Reviews-Coque-Madrid.html
71,70. Bahia Taberna,Spanish,/Restaurant_Review-g187514-d803211-Reviews-Bahia_Taberna-Madrid.html
72,71. niMU Barquillo,Spanish,/Restaurant_Review-g187514-d4773923-Reviews-NiMU_Barquillo-Madrid.html
73,72. Restaurante La Malontina,Spanish,/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html
