,name,type,url_pics
0,1. Swagatam Bar-Restaurant Hindu,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/34/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/4d/97/39/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/25/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/b7/87/a4/swagatam-bar-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/4e/f6/33/very-nice-food-nice-and.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/0f/fc/9d/img-20181015-205603-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/29/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/27/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/3e/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/29/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/27/swagatam.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/8e/ca/3e/swagatam.jpg']"
1,2. Indian Herbs,Indian,"['https://media-cdn.tripadvisor.com/media/photo-o/1f/ed/ef/09/welcome-to-indian-herbs.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/e5/ff/f7/img-20180927-144610-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/19/0b/39/indian-thali-9-99.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/18/f5/61/indian-herbs.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/e3/85/86/indian-herbs.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/e2/48/9c/indian-herbs.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/5b/79/be/photo0jpg.jpg']"
2,3. Tandoori Nights,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/05/ae/d4/b3/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ae/d4/be/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ae/d4/b7/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ae/d4/b5/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/05/af/57/53/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/95/77/41/tandoori-nights-side.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ae/d4/bb/tandoori-nights.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/95/75/79/tandoori-nights-terrace.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/95/76/0a/tandoori-nights-entrance.jpg']"
3,4. Papadam,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/19/08/f6/41/lamb-tikka-mosalla-lightly.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/c6/f5/d4/tandoori-mix-grill-meat.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/4f/9c/5b/jall-chicken-cooked-with.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/60/87/c3/chickcen-hariali-chicken.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/5e/0f/50/naan-pan-indio-nan-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/5e/0e/70/curry-de-pollo-cocinado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/5e/0d/d8/korma-de-pollo-plato.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/4f/9b/12/biryani-dishes-prepared.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/4f/99/93/masala-lightly-spiced.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/4f/98/a4/lamb-jalfrizi-preparado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/4f/98/a4/lamb-jalfrizi-preparado.jpg']"
4,5. Restaurante Koh-i-Noor India,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/a7/cd/lamb-kashmiri.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/a4/56/cheese-rolls.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/aa/b0/gamba-pakora.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/ad/5a/chicken-pakora.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/ad/58/mix-pakora.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/f4/27/c8/gulab-jamun.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/aa/ae/samosas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/f4/27/c7/mango-kulfi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/1a/aa/b4/paneer-pakora.jpg']"
5,6. Rasoi,Indian,"['https://media-cdn.tripadvisor.com/media/photo-s/18/7f/05/ae/rasoi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/7f/05/98/sala-principal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/6c/0f/58/onion-bhaji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/6c/0f/5b/salmon-tikka.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/7f/0d/e3/sala-principal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/6c/0f/00/dal-makhani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/6c/0f/08/murgh-rasoi-ki.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/6c/0f/30/nan.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/ff/32/e1/4-de-febrero-inauguracion.jpg']"
6,7. Swad - The Indian Restaurant,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/09/af/88/9b/swad-the-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/87/e6/07/golgappa-with-cava-cant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/87/e6/06/swad-the-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/59/ac/ae/swad-the-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/59/ac/ad/swad-the-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/13/fe/86/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/13/fe/86/caption.jpg']"
7,8. Veg World India,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/01/c1/cc/ed/salad-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/ed/1f/45/ganesh.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/c1/cc/f0/thali.jpg']"
8,9. Mayura,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/0e/e3/dc/4d/detalles-y-mesas-decoradas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/e3/da/2a/pollo-tandoori-una-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/22/fb/d0/mesa-en-restaurante-myura.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/22/fb/ca/mesa-en-mayura-barcelona.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/65/34/6f/homemade-north-indian.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/e3/dc/55/degustacion-tandoor-y.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/22/fb/7d/comida-en-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/65/2e/73/gin-tandoor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/65/35/81/dine-at-mayura-or-have.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/65/2d/59/lamb-chops-biryani-chicken.jpg']"
9,10. BEMBI,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/01/58/fe/24/bembi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/e6/66/mesas-preparadas-para.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/0b/60/96/a-sample-round-table.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/e7/17/salmon-al-tandoor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/83/cd/8b/mesas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/83/cd/89/vista-hacia-entrada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/02/e9/ee/c6/bembi.jpg']"
