,name,type,url_pics
0,1. Kathmandu Tandoori House,Indian,"['https://media-cdn.tripadvisor.com/media/photo-s/15/81/2f/26/korma-plato-de-sabor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/81/2c/22/palak-paneer-espinacas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/72/c9/0c/el-interior-del-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a9/2a/c9/caption.jpg']"
1,2. Arpit,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/21/d9/a8/comida-hindu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/dd/b2/comida-hindu-arpit.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/dd/6c/comida-arpit.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/09/e6/42/helado-de-pistacho.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/d8/f0/pollo-al-curry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/de/48/comida-con-cerveza-hindu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/d9/2b/rollitos-arpit.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/09/e6/24/surtido-de-aperitivos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/21/dd/84/sopa-arpit.jpg']"
2,3. Nepali Kathmandu Tandoori House,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/27/79/1c/a7/dining.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/79/1c/19/momo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/79/1b/d0/biryani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/27/79/1b/64/sekuwa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/79/1b/40/curry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/07/3b/d3/caption.jpg']"
3,4. Curry Masala,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/22/33/c2/comida-curry-masala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/93/52/4b/curry-masala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/93/52/df/curry-masala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/93/52/2b/curry-masala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1f/48/df/77/entrada-curry-masala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/6f/dd/4f/currymasala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/6f/dd/01/currymasala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/6f/dc/a4/currymasala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/28/6f/dc/12/menus.jpg']"
4,5. Lumbini Tandoori,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/15/25/7e/60/foto-9.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5f/11/95/lum1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5f/11/9d/lum2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/6f/e2/5e/f1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/6f/e2/7b/f1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/6f/e2/9d/f1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5f/11/c3/lum6.jpg']"
5,6. Curry y Canela,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/84/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/65/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/6b/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/3f/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/8e/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/a2/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/88/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/62/curry-canela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/91/e2/aa/curry-canela.jpg']"
6,7. Radhuni Indian,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/11/eb/5c/30/tandoori-chicken-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/39/f5/19/radhuni-indian.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/35/eb/04/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/b6/27/3e/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/43/be/70/radhuni-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/52/6a/28/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/88/dd/ec/20210106-151727-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/6a/a8/16/photo1jpg.jpg']"
7,8. Purnima Indian Restaurant,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/17/f7/99/54/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/98/27/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/9c/d7/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/9a/aa/interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/9c/b1/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/97/d3/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/62/43/64/purnima-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/98/b9/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/f7/98/d8/comida.jpg']"
8,9. Everest Tandoori Nepali-Indian Restaurant,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/0a/4e/4f/b5/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a2/9a/a6/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e1/2d/1f/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ca/7d/48/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e1/2d/1e/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e1/2d/60/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ca/7d/53/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ca/7d/51/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/17/ef/f6/img-20180528-152428-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ca/7d/53/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/ca/7d/51/everest-tandoori-nepali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/17/ef/f6/img-20180528-152428-largejpg.jpg']"
9,10. Indian Accent,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/36/63/9c/bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/36/63/18/cool-environment.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/36/64/81/logo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/36/64/4d/excellent-indian-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/31/44/58/indian-accent.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/31/44/8d/bar.jpg']"
