,name,type,urls
0,1. Swagatam Bar-Restaurant Hindu,Argentinean,/Restaurant_Review-g187497-d3847458-Reviews-Swagatam_Bar_Restaurant_Hindu-Barcelona_Catalonia.html
1,2. Indian Herbs,Argentinean,/Restaurant_Review-g187497-d15124748-Reviews-Indian_Herbs-Barcelona_Catalonia.html
2,3. Tandoori Nights,Argentinean,/Restaurant_Review-g187497-d5418221-Reviews-Tandoori_Nights-Barcelona_Catalonia.html
3,4. Papadam,Argentinean,/Restaurant_Review-g187497-d17651868-Reviews-Papadam-Barcelona_Catalonia.html
4,5. Restaurante Koh-i-Noor India,Argentinean,/Restaurant_Review-g187497-d10482201-Reviews-Restaurante_Koh_i_Noor_India-Barcelona_Catalonia.html
5,6. Rasoi,Argentinean,/Restaurant_Review-g187497-d13431140-Reviews-Rasoi-Barcelona_Catalonia.html
6,7. Swad - The Indian Restaurant,Argentinean,/Restaurant_Review-g187497-d8798877-Reviews-Swad_The_Indian_Restaurant-Barcelona_Catalonia.html
7,8. Veg World India,Argentinean,/Restaurant_Review-g187497-d1100395-Reviews-Veg_World_India-Barcelona_Catalonia.html
8,9. Mayura,Argentinean,/Restaurant_Review-g187497-d1072346-Reviews-Mayura-Barcelona_Catalonia.html
9,10. BEMBI,Argentinean,/Restaurant_Review-g187497-d797018-Reviews-BEMBI-Barcelona_Catalonia.html
10,11. Rangoli,Argentinean,/Restaurant_Review-g187497-d2097584-Reviews-Rangoli-Barcelona_Catalonia.html
11,12. Sindur Indian Cuisine,Argentinean,/Restaurant_Review-g187497-d1081751-Reviews-Sindur_Indian_Cuisine-Barcelona_Catalonia.html
12,13. Casa Masala,Argentinean,/Restaurant_Review-g187497-d12475928-Reviews-Casa_Masala-Barcelona_Catalonia.html
13,14. Tropico Brunch Barcelona,Argentinean,/Restaurant_Review-g187497-d6953348-Reviews-Tropico_Brunch_Barcelona-Barcelona_Catalonia.html
14,15. Bombay Spicy,Argentinean,/Restaurant_Review-g187497-d1747456-Reviews-Bombay_Spicy-Barcelona_Catalonia.html
15,16. Tandoor,Argentinean,/Restaurant_Review-g187497-d7043687-Reviews-Tandoor-Barcelona_Catalonia.html
16,17. Surya Pau Claris,Argentinean,/Restaurant_Review-g187497-d5582359-Reviews-Surya_Pau_Claris-Barcelona_Catalonia.html
17,18. Haveli BCN Restaurant,Argentinean,/Restaurant_Review-g187497-d12535876-Reviews-Haveli_BCN_Restaurant-Barcelona_Catalonia.html
18,19. Out of India,Argentinean,/Restaurant_Review-g187497-d16962819-Reviews-Out_of_India-Barcelona_Catalonia.html
19,20. Bar Bar - The Indian Gastronomia,Argentinean,/Restaurant_Review-g187497-d23443991-Reviews-Bar_Bar_The_Indian_Gastronomia-Barcelona_Catalonia.html
20,21. Kailash Restaurante Tibetano,Argentinean,/Restaurant_Review-g187497-d997511-Reviews-Kailash_Restaurante_Tibetano-Barcelona_Catalonia.html
21,22. Baby Jalebi,Argentinean,/Restaurant_Review-g187497-d16923246-Reviews-Baby_Jalebi-Barcelona_Catalonia.html
22,23. Restaurant Hola Nepal,Argentinean,/Restaurant_Review-g187497-d3581169-Reviews-Restaurant_Hola_Nepal-Barcelona_Catalonia.html
23,24. Chennai Masala Dosa,Argentinean,/Restaurant_Review-g187497-d10528972-Reviews-Chennai_Masala_Dosa-Barcelona_Catalonia.html
24,25. Restaurant Indian Shanti,Argentinean,/Restaurant_Review-g187497-d1202068-Reviews-Restaurant_Indian_Shanti-Barcelona_Catalonia.html
25,26. Restaurante Dhaba,Argentinean,/Restaurant_Review-g187497-d13149804-Reviews-Restaurante_Dhaba-Barcelona_Catalonia.html
26,27. Maharaja Restaurant,Argentinean,/Restaurant_Review-g187497-d2002188-Reviews-Maharaja_Restaurant-Barcelona_Catalonia.html
27,28. Little Andaman,Argentinean,/Restaurant_Review-g187497-d21334347-Reviews-Little_Andaman-Barcelona_Catalonia.html
28,29. Thali,Argentinean,/Restaurant_Review-g187497-d8845513-Reviews-Thali-Barcelona_Catalonia.html
29,30. Sitar Restaurant,Argentinean,/Restaurant_Review-g187497-d4002270-Reviews-Sitar_Restaurant-Barcelona_Catalonia.html
30,31. Veggie Garden Gran Via,Argentinean,/Restaurant_Review-g187497-d10673747-Reviews-Veggie_Garden_Gran_Via-Barcelona_Catalonia.html
31,32. Restaurant Namaste,Argentinean,/Restaurant_Review-g187497-d1413708-Reviews-Restaurant_Namaste-Barcelona_Catalonia.html
32,33. Lahore Restaurant,Argentinean,/Restaurant_Review-g187497-d18941595-Reviews-Lahore_Restaurant-Barcelona_Catalonia.html
33,34. Rasoi Ghar,Argentinean,/Restaurant_Review-g187497-d23426169-Reviews-Rasoi_Ghar-Barcelona_Catalonia.html
34,35. Shalimar,Argentinean,/Restaurant_Review-g187497-d717407-Reviews-Shalimar-Barcelona_Catalonia.html
35,36. Taj Indian,Argentinean,/Restaurant_Review-g187497-d6475416-Reviews-Taj_Indian-Barcelona_Catalonia.html
36,37. Delhi Darbar,Argentinean,/Restaurant_Review-g187497-d7108691-Reviews-Delhi_Darbar-Barcelona_Catalonia.html
37,38. Restaurant Indian CHILLI,Argentinean,/Restaurant_Review-g187497-d25089644-Reviews-Restaurant_Indian_CHILLI-Barcelona_Catalonia.html
38,39. Desi Galli,Argentinean,/Restaurant_Review-g187497-d24170649-Reviews-Desi_Galli-Barcelona_Catalonia.html
39,40. Lal Qila Barcelona,Argentinean,/Restaurant_Review-g187497-d5992107-Reviews-Lal_Qila_Barcelona-Barcelona_Catalonia.html
40,41. Surya Muntaner,Argentinean,/Restaurant_Review-g187497-d8612475-Reviews-Surya_Muntaner-Barcelona_Catalonia.html
41,42. Zeeshan Kebabish,Argentinean,/Restaurant_Review-g187497-d2093962-Reviews-Zeeshan_Kebabish-Barcelona_Catalonia.html
42,43. Gandhi Restaurant,Argentinean,/Restaurant_Review-g187497-d3859148-Reviews-Gandhi_Restaurant-Barcelona_Catalonia.html
43,44. Sri Annapurna Veg & Vegan Restaurant,Argentinean,/Restaurant_Review-g187497-d18377911-Reviews-Sri_Annapurna_Veg_Vegan_Restaurant-Barcelona_Catalonia.html
44,45. Jaipurwala,Argentinean,/Restaurant_Review-g187497-d16851457-Reviews-Jaipurwala-Barcelona_Catalonia.html
45,46. Himalaya Restaurante,Argentinean,/Restaurant_Review-g187497-d11906685-Reviews-Himalaya_Restaurante-Barcelona_Catalonia.html
46,47. Adil Tandoori Restaurant (Halal),Argentinean,/Restaurant_Review-g187497-d5484914-Reviews-Adil_Tandoori_Restaurant_Halal-Barcelona_Catalonia.html
47,48. Restaurante Govinda,Argentinean,/Restaurant_Review-g187497-d697587-Reviews-Restaurante_Govinda-Barcelona_Catalonia.html
48,49. Flor de Maig,Argentinean,/Restaurant_Review-g187497-d1536397-Reviews-Flor_de_Maig-Barcelona_Catalonia.html
49,50. Nice Spice,Argentinean,/Restaurant_Review-g187497-d1137214-Reviews-Nice_Spice-Barcelona_Catalonia.html
50,51. Himalaya,Argentinean,/Restaurant_Review-g187497-d2359720-Reviews-Himalaya-Barcelona_Catalonia.html
51,52. Izky Sushi Bar,Argentinean,/Restaurant_Review-g187497-d9733454-Reviews-Izky_Sushi_Bar-Barcelona_Catalonia.html
52,53. Asian Restaurant,Argentinean,/Restaurant_Review-g187497-d1202524-Reviews-Asian_Restaurant-Barcelona_Catalonia.html
53,54. Yogi Bar Restaurante,Argentinean,/Restaurant_Review-g187497-d7070848-Reviews-Yogi_Bar_Restaurante-Barcelona_Catalonia.html
54,55. Royal Nepal,Argentinean,/Restaurant_Review-g187497-d17339267-Reviews-Royal_Nepal-Barcelona_Catalonia.html
55,56. Mehman Khana,Argentinean,/Restaurant_Review-g187497-d19378442-Reviews-Mehman_Khana-Barcelona_Catalonia.html
56,57. Om India,Argentinean,/Restaurant_Review-g187497-d1999822-Reviews-Om_India-Barcelona_Catalonia.html
57,58. Khalijia Pau Claris,Argentinean,/Restaurant_Review-g187497-d20097549-Reviews-Khalijia_Pau_Claris-Barcelona_Catalonia.html
58,59. Bar Restaurant Placa Pedro,Argentinean,/Restaurant_Review-g187497-d7930149-Reviews-Bar_Restaurant_Placa_Pedro-Barcelona_Catalonia.html
59,60. Mirch Indian Garito,Argentinean,/Restaurant_Review-g187497-d21067270-Reviews-Mirch_Indian_Garito-Barcelona_Catalonia.html
60,61. Casa Bangla,Argentinean,/Restaurant_Review-g187497-d24143494-Reviews-Casa_Bangla-Barcelona_Catalonia.html
61,62. Pronto Pizza,Argentinean,/Restaurant_Review-g187497-d10771356-Reviews-Pronto_Pizza-Barcelona_Catalonia.html
62,63. Zishan Kebabish,Argentinean,/Restaurant_Review-g187497-d4451171-Reviews-Zishan_Kebabish-Barcelona_Catalonia.html
63,64. Rajah Restaurant,Argentinean,/Restaurant_Review-g187497-d2348489-Reviews-Rajah_Restaurant-Barcelona_Catalonia.html
64,65. Indian Haveli,Argentinean,/Restaurant_Review-g187497-d10460570-Reviews-Indian_Haveli-Barcelona_Catalonia.html
65,66. New Himali,Argentinean,/Restaurant_Review-g187497-d21248606-Reviews-New_Himali-Barcelona_Catalonia.html
66,67. Lalqila,Argentinean,/Restaurant_Review-g187497-d7277860-Reviews-Lalqila-Barcelona_Catalonia.html
67,68. Preet Indian Tandoori,Argentinean,/Restaurant_Review-g187497-d15076619-Reviews-Preet_Indian_Tandoori-Barcelona_Catalonia.html
68,69. Bollywood Restaurant,Argentinean,/Restaurant_Review-g187497-d6979732-Reviews-Bollywood_Restaurant-Barcelona_Catalonia.html
69,70. Bollywood Restaurante,Argentinean,/Restaurant_Review-g187497-d12146201-Reviews-Bollywood_Restaurante-Barcelona_Catalonia.html
70,71. Punjab Restaurante,Argentinean,/Restaurant_Review-g187497-d717375-Reviews-Punjab_Restaurante-Barcelona_Catalonia.html
71,72. Masala Theory,Argentinean,/Restaurant_Review-g187497-d18917444-Reviews-Masala_Theory-Barcelona_Catalonia.html
72,73. Restaurante Hungry Eyes,Argentinean,/Restaurant_Review-g187497-d23749305-Reviews-Restaurante_Hungry_Eyes-Barcelona_Catalonia.html
73,74. Ebano Lounge,Argentinean,/Restaurant_Review-g187497-d3187032-Reviews-Ebano_Lounge-Barcelona_Catalonia.html
74,75. Star India,Argentinean,/Restaurant_Review-g187497-d17392036-Reviews-Star_India-Barcelona_Catalonia.html
75,76. Little India,Argentinean,/Restaurant_Review-g187497-d15664360-Reviews-Little_India-Barcelona_Catalonia.html
76,77. Tapas Testaurante Plaza Pedro,Argentinean,/Restaurant_Review-g187497-d7307654-Reviews-Tapas_Testaurante_Plaza_Pedro-Barcelona_Catalonia.html
77,78. Samosa Indian Veg Restaurant,Argentinean,/Restaurant_Review-g187497-d19753034-Reviews-Samosa_Indian_Veg_Restaurant-Barcelona_Catalonia.html
78,79. Indian Masala House,Argentinean,/Restaurant_Review-g187497-d24937460-Reviews-Indian_Masala_House-Barcelona_Catalonia.html
79,80. Hungry Eyes,Argentinean,/Restaurant_Review-g187497-d23748997-Reviews-Hungry_Eyes-Barcelona_Catalonia.html
80,81. Indian Curry House,Argentinean,/Restaurant_Review-g187497-d20266938-Reviews-Indian_Curry_House-Barcelona_Catalonia.html
81,82. Skyways,Argentinean,/Restaurant_Review-g187497-d19261853-Reviews-Skyways-Barcelona_Catalonia.html
82,83. Indian Zaika Restaurant,Argentinean,/Restaurant_Review-g187497-d16874079-Reviews-Indian_Zaika_Restaurant-Barcelona_Catalonia.html
83,84. Puzzles Bar & Restaurant,Argentinean,/Restaurant_Review-g187497-d19652807-Reviews-Puzzles_Bar_Restaurant-Barcelona_Catalonia.html
84,85. Good Taste Cerdanyola,Argentinean,/Restaurant_Review-g187497-d23041271-Reviews-Good_Taste_Cerdanyola-Barcelona_Catalonia.html
85,86. Omar Cafe Restaurante,Argentinean,/Restaurant_Review-g187497-d12930512-Reviews-Omar_Cafe_Restaurante-Barcelona_Catalonia.html
86,87. Dera Restaurante,Argentinean,/Restaurant_Review-g187497-d20988990-Reviews-Dera_Restaurante-Barcelona_Catalonia.html
87,88. Sapor d'Italia,Argentinean,/Restaurant_Review-g187497-d5000117-Reviews-Sapor_d_Italia-Barcelona_Catalonia.html
88,89. Curry Barcelona,Argentinean,/Restaurant_Review-g187497-d12485123-Reviews-Curry_Barcelona-Barcelona_Catalonia.html
89,90. Taj Mahal,Argentinean,/Restaurant_Review-g187497-d15128429-Reviews-Taj_Mahal-Barcelona_Catalonia.html
90,91. Senor Chutney,Argentinean,/Restaurant_Review-g187497-d25280427-Reviews-Senor_Chutney-Barcelona_Catalonia.html
91,92. Grill and broast Resturent,Argentinean,/Restaurant_Review-g187497-d19995337-Reviews-Grill_and_broast_Resturent-Barcelona_Catalonia.html
92,93. Rasoighar,Argentinean,/Restaurant_Review-g187497-d23427309-Reviews-Rasoighar-Barcelona_Catalonia.html
93,94. Haldi Indian Restaurant,Argentinean,/Restaurant_Review-g187497-d25020481-Reviews-Haldi_Indian_Restaurant-Barcelona_Catalonia.html
94,95. Evening . Bcn Gastro Club,Argentinean,/Restaurant_Review-g187497-d23636327-Reviews-Evening_Bcn_Gastro_Club-Barcelona_Catalonia.html
95,96. Usmania Grill Restaurant,Argentinean,/Restaurant_Review-g187497-d24037987-Reviews-Usmania_Grill_Restaurant-Barcelona_Catalonia.html
96,97. Pizzeria Napoli,Argentinean,/Restaurant_Review-g187497-d20900405-Reviews-Pizzeria_Napoli-Barcelona_Catalonia.html
97,98. Manchis Bar restaurante,Argentinean,/Restaurant_Review-g187497-d14137838-Reviews-Manchis_Bar_restaurante-Barcelona_Catalonia.html
98,99. Halal Wild Meat,Argentinean,/Restaurant_Review-g187497-d19658863-Reviews-Halal_Wild_Meat-Barcelona_Catalonia.html
99,100. Masala Barcelona,Argentinean,/Restaurant_Review-g187497-d7370530-Reviews-Masala_Barcelona-Barcelona_Catalonia.html
100,101. Portobello,Argentinean,/Restaurant_Review-g187497-d16849477-Reviews-Portobello-Barcelona_Catalonia.html
101,102. Indian Palace,Argentinean,/Restaurant_Review-g187497-d23382756-Reviews-Indian_Palace-Barcelona_Catalonia.html
102,103. Pizza Virona,Argentinean,/Restaurant_Review-g187497-d4049206-Reviews-Pizza_Virona-Barcelona_Catalonia.html
103,104. International Soul Food,Argentinean,/Restaurant_Review-g187497-d7713603-Reviews-International_Soul_Food-Barcelona_Catalonia.html
104,105. Taj Mahal,Argentinean,/Restaurant_Review-g187497-d9825439-Reviews-Taj_Mahal-Barcelona_Catalonia.html
105,106. wok pizza pasta,Argentinean,/Restaurant_Review-g187497-d5966868-Reviews-Wok_pizza_pasta-Barcelona_Catalonia.html
106,107. Restaurante Fiore Les Corts Barcelona,Argentinean,/Restaurant_Review-g187497-d1997855-Reviews-Restaurante_Fiore_Les_Corts_Barcelona-Barcelona_Catalonia.html
107,108. Sher-E-Punjab,Argentinean,/Restaurant_Review-g187497-d7108697-Reviews-Sher_E_Punjab-Barcelona_Catalonia.html
108,109. Al Rahmat Kebab Pizzeria,Argentinean,/Restaurant_Review-g187497-d9602772-Reviews-Al_Rahmat_Kebab_Pizzeria-Barcelona_Catalonia.html
109,110. Bombay City,Argentinean,/Restaurant_Review-g187497-d6509006-Reviews-Bombay_City-Barcelona_Catalonia.html
110,111. Estrella Brillante,Argentinean,/Restaurant_Review-g187497-d21295431-Reviews-Estrella_Brillante-Barcelona_Catalonia.html
111,112. Grill Peri Peri Chicken,Argentinean,/Restaurant_Review-g187497-d16846251-Reviews-Grill_Peri_Peri_Chicken-Barcelona_Catalonia.html
112,113. Frankfurt El Chiringuito,Argentinean,/Restaurant_Review-g187497-d17095420-Reviews-Frankfurt_El_Chiringuito-Barcelona_Catalonia.html
113,114. India Gate Restaurante,Argentinean,/Restaurant_Review-g187497-d21296902-Reviews-India_Gate_Restaurante-Barcelona_Catalonia.html
114,115. La Lluna,Argentinean,/Restaurant_Review-g187497-d23761903-Reviews-La_Lluna-Barcelona_Catalonia.html
115,116. Habib's Vilage Restaurant,Argentinean,/Restaurant_Review-g187497-d25169375-Reviews-Habib_s_Vilage_Restaurant-Barcelona_Catalonia.html
116,117. Royal Indian,Argentinean,/Restaurant_Review-g187497-d25232393-Reviews-Royal_Indian-Barcelona_Catalonia.html
117,118. Valldaura Grill Restuarent,Argentinean,/Restaurant_Review-g187497-d25546981-Reviews-Valldaura_Grill_Restuarent-Barcelona_Catalonia.html
118,119. Valldaura Grill Restuarant,Argentinean,/Restaurant_Review-g187497-d25549568-Reviews-Valldaura_Grill_Restuarant-Barcelona_Catalonia.html
