,name,type,urls
0,1. Kathmandu Tandoori House,Argentinean,/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html
1,2. Arpit,Argentinean,/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html
2,3. Nepali Kathmandu Tandoori House,Argentinean,/Restaurant_Review-g187514-d23810194-Reviews-Nepali_Kathmandu_Tandoori_House-Madrid.html
3,4. Curry Masala,Argentinean,/Restaurant_Review-g187514-d1531847-Reviews-Curry_Masala-Madrid.html
4,5. Lumbini Tandoori,Argentinean,/Restaurant_Review-g187514-d15239257-Reviews-Lumbini_Tandoori-Madrid.html
5,6. Curry y Canela,Argentinean,/Restaurant_Review-g187514-d17534945-Reviews-Curry_y_Canela-Madrid.html
6,7. Radhuni Indian,Argentinean,/Restaurant_Review-g187514-d12400533-Reviews-Radhuni_Indian-Madrid.html
7,8. Purnima Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html
8,9. Everest Tandoori Nepali-Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html
9,10. Indian Accent,Argentinean,/Restaurant_Review-g187514-d21200003-Reviews-Indian_Accent-Madrid.html
10,11. Indian Aroma,Argentinean,/Restaurant_Review-g187514-d1015592-Reviews-Indian_Aroma-Madrid.html
11,12. Restaurante Sagar,Argentinean,/Restaurant_Review-g187514-d3537317-Reviews-Restaurante_Sagar-Madrid.html
12,13. Bangalore Modern Indian Cuisine,Argentinean,/Restaurant_Review-g187514-d12785964-Reviews-Bangalore_Modern_Indian_Cuisine-Madrid.html
13,14. Doli Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d10449505-Reviews-Doli_Indian_Restaurant-Madrid.html
14,15. Tandoori Station,Argentinean,/Restaurant_Review-g187514-d784409-Reviews-Tandoori_Station-Madrid.html
15,16. Kitchen 154 (Vallehermoso),Argentinean,/Restaurant_Review-g187514-d9744017-Reviews-Kitchen_154_Vallehermoso-Madrid.html
16,17. Moharaj,Argentinean,/Restaurant_Review-g187514-d1047563-Reviews-Moharaj-Madrid.html
17,18. Fathe Pur,Argentinean,/Restaurant_Review-g187514-d3411752-Reviews-Fathe_Pur-Madrid.html
18,19. Benares Madrid,Argentinean,/Restaurant_Review-g187514-d8624679-Reviews-Benares_Madrid-Madrid.html
19,20. Buddha palace tandoori nepali- indian restaurant,Argentinean,/Restaurant_Review-g187514-d14010395-Reviews-Buddha_palace_tandoori_nepali_indian_restaurant-Madrid.html
20,21. Swagat Restaurante Indio,Argentinean,/Restaurant_Review-g187514-d4707853-Reviews-Swagat_Restaurante_Indio-Madrid.html
21,22. Himalayan Tandoori,Argentinean,/Restaurant_Review-g187514-d12992563-Reviews-Himalayan_Tandoori-Madrid.html
22,23. Adrak Indian,Argentinean,/Restaurant_Review-g187514-d14023105-Reviews-Adrak_Indian-Madrid.html
23,24. Atocha Tandoori,Argentinean,/Restaurant_Review-g187514-d8871733-Reviews-Atocha_Tandoori-Madrid.html
24,25. Kathmandu Garden Nepali Restaurante,Argentinean,/Restaurant_Review-g187514-d11788654-Reviews-Kathmandu_Garden_Nepali_Restaurante-Madrid.html
25,26. Agra Palace Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d5029055-Reviews-Agra_Palace_Indian_Restaurant-Madrid.html
26,27. Taj Mahal,Argentinean,/Restaurant_Review-g187514-d3577016-Reviews-Taj_Mahal-Madrid.html
27,28. Taste of India,Argentinean,/Restaurant_Review-g187514-d11854273-Reviews-Taste_of_India-Madrid.html
28,29. Kundan Indian Restaurant by Joshi,Argentinean,/Restaurant_Review-g187514-d10030909-Reviews-Kundan_Indian_Restaurant_by_Joshi-Madrid.html
29,30. Himalaya,Argentinean,/Restaurant_Review-g187514-d991247-Reviews-Himalaya-Madrid.html
30,31. Surya Callao,Argentinean,/Restaurant_Review-g187514-d12240971-Reviews-Surya_Callao-Madrid.html
31,32. Basmati,Argentinean,/Restaurant_Review-g187514-d14048888-Reviews-Basmati-Madrid.html
32,33. Masala Darbar Madrid,Argentinean,/Restaurant_Review-g187514-d23604637-Reviews-Masala_Darbar_Madrid-Madrid.html
33,34. Palki Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d21137957-Reviews-Palki_Indian_Restaurant-Madrid.html
34,35. Ganges,Argentinean,/Restaurant_Review-g187514-d794626-Reviews-Ganges-Madrid.html
35,36. Mughul,Argentinean,/Restaurant_Review-g187514-d1023932-Reviews-Mughul-Madrid.html
36,37. Everest Curry House,Argentinean,/Restaurant_Review-g187514-d19444225-Reviews-Everest_Curry_House-Madrid.html
37,38. Taj,Argentinean,/Restaurant_Review-g187514-d1118847-Reviews-Taj-Madrid.html
38,39. Udaipur,Argentinean,/Restaurant_Review-g187514-d23477799-Reviews-Udaipur-Madrid.html
39,40. Holi House,Argentinean,/Restaurant_Review-g187514-d20517214-Reviews-Holi_House-Madrid.html
40,41. Restaurante Annapurna,Argentinean,/Restaurant_Review-g187514-d13814931-Reviews-Restaurante_Annapurna-Madrid.html
41,42. Shampan,Argentinean,/Restaurant_Review-g187514-d14918266-Reviews-Shampan-Madrid.html
42,43. Bowlers Kitchen,Argentinean,/Restaurant_Review-g187514-d13369621-Reviews-Bowlers_Kitchen-Madrid.html
43,44. Mantra Restaurant,Argentinean,/Restaurant_Review-g187514-d13187262-Reviews-Mantra_Restaurant-Madrid.html
44,45. OM Tandoori,Argentinean,/Restaurant_Review-g187514-d23381974-Reviews-OM_Tandoori-Madrid.html
45,46. Sal y Chili,Argentinean,/Restaurant_Review-g187514-d16939666-Reviews-Sal_y_Chili-Madrid.html
46,47. Saffron Indian Cuisine,Argentinean,/Restaurant_Review-g187514-d16657473-Reviews-Saffron_Indian_Cuisine-Madrid.html
47,48. Restaurante Swagat,Argentinean,/Restaurant_Review-g187514-d7229152-Reviews-Restaurante_Swagat-Madrid.html
48,49. Taj Mahal,Argentinean,/Restaurant_Review-g187514-d19454672-Reviews-Taj_Mahal-Madrid.html
49,50. Baisakhi,Argentinean,/Restaurant_Review-g187514-d1980856-Reviews-Baisakhi-Madrid.html
50,51. Mother India,Argentinean,/Restaurant_Review-g187514-d13289901-Reviews-Mother_India-Madrid.html
51,52. Ananta,Argentinean,/Restaurant_Review-g187514-d14963232-Reviews-Ananta-Madrid.html
52,53. Kaa Madrid,Argentinean,/Restaurant_Review-g187514-d25275920-Reviews-Kaa_Madrid-Madrid.html
53,54. Bollywood Tadka,Argentinean,/Restaurant_Review-g187514-d3502133-Reviews-Bollywood_Tadka-Madrid.html
54,55. Haveli Indian Kitchen,Argentinean,/Restaurant_Review-g187514-d23767328-Reviews-Haveli_Indian_Kitchen-Madrid.html
55,56. Megha Halal Cuisine,Argentinean,/Restaurant_Review-g187514-d13112766-Reviews-Megha_Halal_Cuisine-Madrid.html
56,57. New Bombay Palace,Argentinean,/Restaurant_Review-g187514-d3159767-Reviews-New_Bombay_Palace-Madrid.html
57,58. Bombay Blue - Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d8857488-Reviews-Bombay_Blue_Indian_Restaurant-Madrid.html
58,59. Restaurante Taj Mahal,Argentinean,/Restaurant_Review-g187514-d11903165-Reviews-Restaurante_Taj_Mahal-Madrid.html
59,60. Indian flavour,Argentinean,/Restaurant_Review-g187514-d17333936-Reviews-Indian_flavour-Madrid.html
60,61. Raj Puth,Argentinean,/Restaurant_Review-g187514-d15210762-Reviews-Raj_Puth-Madrid.html
61,62. Shapla Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d3652418-Reviews-Shapla_Indian_Restaurant-Madrid.html
62,63. Taj Mahal,Argentinean,/Restaurant_Review-g187514-d810908-Reviews-Taj_Mahal-Madrid.html
63,64. Byanjan Restaurante,Argentinean,/Restaurant_Review-g187514-d25326069-Reviews-Byanjan_Restaurante-Madrid.html
64,65. Indian Spice,Argentinean,/Restaurant_Review-g187514-d3165033-Reviews-Indian_Spice-Madrid.html
65,66. Namak Nadeem Siraj,Argentinean,/Restaurant_Review-g187514-d24093806-Reviews-Namak_Nadeem_Siraj-Madrid.html
66,67. Bombay Masala,Argentinean,/Restaurant_Review-g187514-d7740927-Reviews-Bombay_Masala-Madrid.html
67,68. Annapurna Tandoori,Argentinean,/Restaurant_Review-g187514-d24011135-Reviews-Annapurna_Tandoori-Madrid.html
68,69. Curry Land,Argentinean,/Restaurant_Review-g187514-d8707470-Reviews-Curry_Land-Madrid.html
69,70. Calcuta,Argentinean,/Restaurant_Review-g187514-d1998408-Reviews-Calcuta-Madrid.html
70,71. Raja-Mahal,Argentinean,/Restaurant_Review-g187514-d953109-Reviews-Raja_Mahal-Madrid.html
71,72. Spicy grill & pizza,Argentinean,/Restaurant_Review-g187514-d17165329-Reviews-Spicy_grill_pizza-Madrid.html
72,73. Indian Bombay,Argentinean,/Restaurant_Review-g187514-d10211723-Reviews-Indian_Bombay-Madrid.html
73,74. Bengala,Argentinean,/Restaurant_Review-g187514-d13763176-Reviews-Bengala-Madrid.html
74,75. Anarkoli,Argentinean,/Restaurant_Review-g187514-d4752055-Reviews-Anarkoli-Madrid.html
75,76. Tandoori Madrid,Argentinean,/Restaurant_Review-g187514-d13460647-Reviews-Tandoori_Madrid-Madrid.html
76,77. T.Q. Te De Maravillas,Argentinean,/Restaurant_Review-g187514-d8778773-Reviews-T_Q_Te_De_Maravillas-Madrid.html
77,78. Tandoori Masala Indian Cuisine,Argentinean,/Restaurant_Review-g187514-d24069163-Reviews-Tandoori_Masala_Indian_Cuisine-Madrid.html
78,79. Great India,Argentinean,/Restaurant_Review-g187514-d11741115-Reviews-Great_India-Madrid.html
79,80. Curry Station,Argentinean,/Restaurant_Review-g187514-d13417540-Reviews-Curry_Station-Madrid.html
80,81. Vamos Al Indio,Argentinean,/Restaurant_Review-g187514-d15636578-Reviews-Vamos_Al_Indio-Madrid.html
81,82. Restaurante Hindu Bolliwood,Argentinean,/Restaurant_Review-g187514-d3786662-Reviews-Restaurante_Hindu_Bolliwood-Madrid.html
82,83. Maisha,Argentinean,/Restaurant_Review-g187514-d7823637-Reviews-Maisha-Madrid.html
83,84. Doner Kebap Y Biryani House,Argentinean,/Restaurant_Review-g187514-d24074547-Reviews-Doner_Kebap_Y_Biryani_House-Madrid.html
84,85. Hola India,Argentinean,/Restaurant_Review-g187514-d4992477-Reviews-Hola_India-Madrid.html
85,86. Ivy Cottage,Argentinean,/Restaurant_Review-g187514-d23774030-Reviews-Ivy_Cottage-Madrid.html
86,87. Safran,Argentinean,/Restaurant_Review-g187514-d8037572-Reviews-Safran-Madrid.html
87,88. La Casa Del Curry,Argentinean,/Restaurant_Review-g187514-d17609635-Reviews-La_Casa_Del_Curry-Madrid.html
88,89. Restaurante Preity Raj,Argentinean,/Restaurant_Review-g187514-d7304041-Reviews-Restaurante_Preity_Raj-Madrid.html
89,90. Al Gusto Pizzeria,Argentinean,/Restaurant_Review-g187514-d10802585-Reviews-Al_Gusto_Pizzeria-Madrid.html
90,91. Sonali,Argentinean,/Restaurant_Review-g187514-d12851052-Reviews-Sonali-Madrid.html
91,92. Bengol Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d13340838-Reviews-Bengol_Indian_Restaurant-Madrid.html
92,93. Mayur,Argentinean,/Restaurant_Review-g187514-d24037562-Reviews-Mayur-Madrid.html
93,94. Nazara Indian Restaurant,Argentinean,/Restaurant_Review-g187514-d25076285-Reviews-Nazara_Indian_Restaurant-Madrid.html
94,95. Calle Arganda 29,Argentinean,/Restaurant_Review-g187514-d25101085-Reviews-Calle_Arganda_29-Madrid.html
95,96. Indthai Comida Tailandesa E Indhu,Argentinean,/Restaurant_Review-g187514-d25284854-Reviews-Indthai_Comida_Tailandesa_E_Indhu-Madrid.html
