,name,type,url_pics
0,213. Pizza Napoli,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/17/40/5d/04/no-sabes-que-elegir-pidetelo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/74/e1/ce/horno-de-piedra-tradicional.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/e6/9a/4f/getlstd-property-photo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/69/c6/3e/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/ce/d7/7c/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/3e/85/fd/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/e9/28/bc/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/3e/85/fc/photo1jpg.jpg']"
1,214. Sienna,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/0c/5f/33/pizza-de-peperoni.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/04/79/69/d8/pizzeria-sienna.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/58/e9/28/pizzeria-sienna.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/58/e8/da/pizzeria-sienna.jpg']"
2,215. Salutteria,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/5d/d9/62/tiramisu-casero-nuestro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/5d/d9/63/pinsa-de-nutella-helado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/5d/d9/5d/bocadillo-de-pastrami.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/5d/d9/50/mortadela-trufada-mortadela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/5d/d5/98/pasta-artesana-con-albondigas.jpg']"
3,216. Siracusa Madrid,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/17/e7/4d/24/pinsa-al-gusto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/4d/35/pinsa-al-gusto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/e7/4d/2c/pinsa-de-jamon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/df/63/50/pinta-siracusa-y-guanciale.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/bd/b3/29/pepperoni.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/71/3c/6d/pinta-guanciale.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/71/3c/6d/pinta-guanciale.jpg']"
4,217. La Pentola Magica,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/07/59/a3/27/parmigiana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/7c/c2/1d/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/48/cc/19/pizza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/7c/4d/54/img-20181123-220018-largejpg.jpg']"
5,"218. La Tagliatella C/Juan Bravo, Madrid",Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/04/b9/ec/b1/la-tagliatella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/b9/ec/b5/la-tagliatella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/b9/ec/b0/la-tagliatella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/b9/ec/b3/la-tagliatella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/45/9e/a6/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/45/9e/a4/photo0jpg.jpg']"
6,219. Mastropiero Pizzeria,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/15/9f/aa/5d/photo5jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0a/84/e4/d4/mastropiero-pizzeria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/9f/aa/5c/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/9f/aa/5a/photo2jpg.jpg']"
7,220. Casa Vito,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/28/0e/fe/fb/planta-alta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/fe/ba/planta-alta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/fe/3e/forno-di-pietra.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/fe/0a/planta-baja.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/f7/87/salon-planta-baja.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/f6/f1/4-quesos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/f6/9e/gnocchi-a-la-gorgonzola.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/ec/c0/pizza-de-mortadela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/0e/ec/8d/pizza-trufa-y-setas.jpg']"
8,221. Primo Tavolino,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/1b/f9/b2/e7/adoras-la-pasta-en-todas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/11/e9/1e/iya-es-viernes-y-tenemos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ef/28/bb/hace-cuanto-que-no-degustas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/07/6e/f0/ies-viernes-y-que-mejor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/19/93/e8/ihola-amigos-de-valdebebas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/52/a7/bd/nos-encanta-ver-a-la.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/e6/58/15/ganas-de-pasta-entonces.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/66/ee/0f/puede-que-la-pizza-se.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/6b/ed/f6/juntos-en-primo-tavolino.jpg']"
9,222. El Kiosko de la Pizza,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e2/20191228-152029-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/59/f7/ba/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e9/screenshot-20191229-092708.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/ea/screenshot-20191229-092712.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e8/screenshot-20191229-092700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e5/screenshot-20191229-092104.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/59/f7/b7/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e4/screenshot-20191229-092054.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/59/f7/b7/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/6c/fb/e4/screenshot-20191229-092054.jpg']"
