,name,type,urls
0,1. Pastamore Alcala,Argentinean,/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html
1,2. Trattoria Pulcinella,Argentinean,/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html
2,3. Oven Mozzarella Preciados,Argentinean,/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html
3,4. Pizzart Luchana,Argentinean,/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Luchana-Madrid.html
4,5. Peppe Fusco The Italian,Argentinean,/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html
5,6. Ornella,Argentinean,/Restaurant_Review-g187514-d8855793-Reviews-Ornella-Madrid.html
6,7. Oven Mozzarella Bar,Argentinean,/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Bar-Madrid.html
7,8. Lettera Trattoria Moderna,Argentinean,/Restaurant_Review-g187514-d19738350-Reviews-Lettera_Trattoria_Moderna-Madrid.html
8,9. Oven Mozzarella Atocha,Argentinean,/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html
9,10. Pizzart Villa Canalejas,Argentinean,/Restaurant_Review-g187514-d19600933-Reviews-Pizzart_Villa_Canalejas-Madrid.html
10,11. Oven Mozzarella Bernabeu,Argentinean,/Restaurant_Review-g187514-d23751367-Reviews-Oven_Mozzarella_Bernabeu-Madrid.html
11,12. Oven mozzarella Las Tablas,Argentinean,/Restaurant_Review-g187514-d10509960-Reviews-Oven_mozzarella_Las_Tablas-Madrid.html
12,13. Malafemmena,Argentinean,/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html
13,14. Gustazio Gastrobar,Argentinean,/Restaurant_Review-g187514-d15683077-Reviews-Gustazio_Gastrobar-Madrid.html
14,15. Maruzzella,Argentinean,/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html
15,16. Pizzart Villa Fuencarral,Argentinean,/Restaurant_Review-g187514-d23151163-Reviews-Pizzart_Villa_Fuencarral-Madrid.html
16,17. Bombardino Cafe,Argentinean,/Restaurant_Review-g187514-d10355629-Reviews-Bombardino_Cafe-Madrid.html
17,18. La Pizzateca,Argentinean,/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html
18,19. Oven Mozzarella Fuencarral,Argentinean,/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html
19,20. Oven Mozzarella Gran Via 6,Argentinean,/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html
20,21. Davanti Food & Market,Argentinean,/Restaurant_Review-g187514-d14065122-Reviews-Davanti_Food_Market-Madrid.html
21,22. Pizzeria Fratelli,Argentinean,/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html
22,23. El Sitio,Argentinean,/Restaurant_Review-g187514-d7319219-Reviews-El_Sitio-Madrid.html
23,24. Oliveto,Argentinean,/Restaurant_Review-g187514-d7125727-Reviews-Oliveto-Madrid.html
24,25. Restaurante Noi,Argentinean,/Restaurant_Review-g187514-d17723730-Reviews-Restaurante_Noi-Madrid.html
25,26. Bosque De Piamonte,Argentinean,/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html
26,27. Brew Wild Pizza Bar,Argentinean,/Restaurant_Review-g187514-d12493147-Reviews-Brew_Wild_Pizza_Bar-Madrid.html
