,name,type,url_pics
0,1. Sibuya Urban Sushi Bar Madrid C/Orense,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/75/uramaki-carpe-diem.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/77/classic-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/80/gunkan-lovers.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/ab/uramaki-salmon-california.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/71/uramaki-california.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/7b/crunchy-fish.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/81/gyozas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/36/f7/9e/uramaki-morenito.jpg']"
1,2. Sibuya Urban Sushi Bar Chueca,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/39/sake-sibuya.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/23/tartar-de-atun.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/48/tartar-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/2a/yakisoba-vegetal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/2e/crab-bao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/22/4b/70/31/mochis.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/4e/fd/28/freestyle-52pz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/4e/fd/58/uramaki-salmon-california.jpg']"
2,3. Sibuya Urban Sushi Bar Madrid C/ibiza,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/65/sake-sibuya.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/6d/vino.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/66/atun-sashimi-especial.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/4e/tartar-de-mantequilla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/68/carpe-diem.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/67/mochis.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/3a/ebi-boroboro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/24/80/49/tori-katsu.jpg']"
3,4. Sakale,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/16/76/c9/c3/sushi-caribe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/7c/sushi-rolls.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/2a/11/16/peceras-para-compartir.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/87/ad/72/burger-de-salmon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/87/ad/80/ensalada-neptuno.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/48/sushi-roll-fuji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/56/sushi-roll-fantasy.jpg']"
4,5. Pilar Akaneya,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/9b/9f/9c/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/a1/4e/11/pilar-akaneya-por-dentro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/9b/9f/93/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/7f/5a/85/photo7jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/7f/5b/b0/howaitochoko-no-mori.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/be/b7/10/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/be/b7/11/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/7f/5a/7e/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/be/b7/11/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/7f/5a/7e/photo0jpg.jpg']"
5,6. Maximo Sushi Bar,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/c0/double-crab-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/b0/dimsum-langostinos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/88/kao-boletus.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/7a/crazy-salmon-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/6b/califirnia-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/55/beef-tataki-roll.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/48/date-cali.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/3d/degustacion-nigiri.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/ca/f9/2b/mango-roll.jpg']"
6,7. Pituca Lounge,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/67/6f/1c/terraza-pituca-lounge.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/67/6f/22/interior-pituca-lounge.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/67/6f/20/gastronomia-peruana-fusion.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/67/6f/2d/eventos-en-pituca-lounge.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/67/6f/1f/cocteleria-peruana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/5d/66/bb/new-pituca-lounge-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/54/1b/05/cocina-nikkei.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/31/31/f1/pizzas-peruvian.jpg']"
7,8. Sto Globo Sushi Room,Japanese,['https://media-cdn.tripadvisor.com/media/photo-f/22/64/c3/d5/tarta-cremosa-de-queso.jpg']
8,9. Kaiten Sushi Madrid,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/28/bd/48/b8/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/bd/31/ff/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/b9/9e/ce/caption.jpg']"
9,10. sr.Ito,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/1d/54/84/tartatr-de-atun-un-poco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/23/4d/0a/1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/1d/54/54/nuestro-maravilloso-sashimi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/6f/eb/a8/medio-roll-obama-y-medio.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/a4/f6/c4/old-bay-roll-y-srito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/a4/f6/bf/barra-del-restaurante.jpg']"
