,name,type,url_pics
0,151. Tusushiburrito,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/21/de/3b/21/la-nueva-forma-de-comer.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/ea/3c/19/tusushiburrito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/ea/3b/d9/tusushiburrito.jpg']"
1,152. Ponja Nikkei,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-s/23/5a/3e/5a/inigiri-de-pulpo-al-olivo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/22/ac/8c/cf/iestamos-enamorados-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/c8/55/1a/nigiris-de-panceta-una.jpg']"
2,153. Kanbun,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/11/7c/04/d0/entrada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/05/98/ceviche-cremoso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/04/ea/sala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/05/5b/tartar-de-salmon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/06/22/rollitos-de-rabo-de-toro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/04/f1/sala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/05/18/sala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7c/05/df/ceviche.jpg']"
3,154. Kintaro,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/11/61/d3/23/the-hall-you-were-not.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/3e/10/94/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/3e/10/95/photo2jpg.jpg']"
4,155. Pokelolo,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/23/49/15/power-duo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/8e/47/sweet-kiss.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/39/0a/atun-madness.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/87/93/super-fresh.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/8e/14/acai-bowl.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/87/c6/pollo-chicharock.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/8e/2f/black-kiss.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/2c/0b/ven-a-visitarnos-nos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/8e/2f/black-kiss.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/23/2c/0b/ven-a-visitarnos-nos.jpg']"
5,156. Ohe poke raw,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/15/a5/91/c0/ohe-poke-raw.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/a5/91/ba/ohe-poke-raw.jpg']"
6,157. Restaurante Luos,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a5/fd/bacalao-a-la-plancha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a7/64/solomillo-teriyaki.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a6/b5/lomo-japones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a6/14/calamares-rellenos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/70/8c/b0/restaurante-luos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a7/e2/verduras-salteadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a5/b2/alitas-fritas-al-estilo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a6/5b/ensalada-de-pepino-refrescante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a5/b2/alitas-fritas-al-estilo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/a1/a6/5b/ensalada-de-pepino-refrescante.jpg']"
7,158. Chino Fulitu,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/71/0d/b9/sala-restaurante-fulitu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/71/13/09/comida-restaurante-fulitu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/71/12/de/copas-restaurante-fulitu.jpg']"
8,159. Kanbun,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/19/70/ab/52/kanbun-metropoli-interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/be/72/06/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/70/15/ee/img-20201205-145136-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/f5/94/0b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/70/15/f1/img-20201205-152601-largejpg.jpg']"
9,160. Xake,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/dc/83/db/algunos-de-los-platos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f1/f7/fa/img-20180512-145130-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/4f/99/aa/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/fb/89/d4/img-20160206-145528-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/4f/99/ab/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/4f/99/ab/photo1jpg.jpg']"
10,161. Ni Hao Sanchinarro,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/01/ea/31/0a/cocina-china.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/ea/31/08/maki-sushi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/eb/0c/77/sushi-variado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/eb/0c/75/maki-sushi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/eb/0c/70/vista-parcial-del-comedor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/ea/31/05/vista-exterior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/eb/0c/72/exterior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/a2/6f/74/ni-hao-sanchinarro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/01/eb/0c/72/exterior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/a2/6f/74/ni-hao-sanchinarro.jpg']"
