,name,type,urls
0,1. Sibuya Urban Sushi Bar Madrid C/Orense,Argentinean,/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid_C_Orense-Madrid.html
1,2. Sibuya Urban Sushi Bar Chueca,Argentinean,/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html
2,3. Sibuya Urban Sushi Bar Madrid C/ibiza,Argentinean,/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar_Madrid_C_ibiza-Madrid.html
3,4. Sakale,Argentinean,/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html
4,5. Pilar Akaneya,Argentinean,/Restaurant_Review-g187514-d21058665-Reviews-Pilar_Akaneya-Madrid.html
5,6. Maximo Sushi Bar,Argentinean,/Restaurant_Review-g187514-d23623277-Reviews-Maximo_Sushi_Bar-Madrid.html
6,7. Pituca Lounge,Argentinean,/Restaurant_Review-g187514-d23524708-Reviews-Pituca_Lounge-Madrid.html
7,8. Sto Globo Sushi Room,Argentinean,/Restaurant_Review-g187514-d16745406-Reviews-Sto_Globo_Sushi_Room-Madrid.html
8,9. Kaiten Sushi Madrid,Argentinean,/Restaurant_Review-g187514-d23795463-Reviews-Kaiten_Sushi_Madrid-Madrid.html
9,10. sr.Ito,Argentinean,/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html
10,11. Yakiniku Rikyu,Argentinean,/Restaurant_Review-g187514-d13442478-Reviews-Yakiniku_Rikyu-Madrid.html
11,12. Okashi Sanda,Argentinean,/Restaurant_Review-g187514-d3863661-Reviews-Okashi_Sanda-Madrid.html
12,13. Miyama,Argentinean,/Restaurant_Review-g187514-d1024837-Reviews-Miyama-Madrid.html
13,14. Tori-Key,Argentinean,/Restaurant_Review-g187514-d11962332-Reviews-Tori_Key-Madrid.html
14,15. Miyama,Argentinean,/Restaurant_Review-g187514-d3686487-Reviews-Miyama-Madrid.html
15,16. Naomi,Argentinean,/Restaurant_Review-g187514-d780909-Reviews-Naomi-Madrid.html
16,17. Mitiko,Argentinean,/Restaurant_Review-g187514-d23685189-Reviews-Mitiko-Madrid.html
17,18. Ronda 14,Argentinean,/Restaurant_Review-g187514-d8629367-Reviews-Ronda_14-Madrid.html
18,19. Nakeima Dumpling Bar,Argentinean,/Restaurant_Review-g187514-d5953276-Reviews-Nakeima_Dumpling_Bar-Madrid.html
19,20. Chuka Ramen Bar,Argentinean,/Restaurant_Review-g187514-d7284789-Reviews-Chuka_Ramen_Bar-Madrid.html
20,21. Waraku,Argentinean,/Restaurant_Review-g187514-d23715075-Reviews-Waraku-Madrid.html
21,22. Bacira,Argentinean,/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html
22,23. DokiDoki,Argentinean,/Restaurant_Review-g187514-d7125336-Reviews-DokiDoki-Madrid.html
23,24. 99 Sushi Bar - Padre Damian,Argentinean,/Restaurant_Review-g187514-d7161391-Reviews-99_Sushi_Bar_Padre_Damian-Madrid.html
24,25. 99 Sushi Bar,Argentinean,/Restaurant_Review-g187514-d2446455-Reviews-99_Sushi_Bar-Madrid.html
25,26. izakaya Han,Argentinean,/Restaurant_Review-g187514-d5982128-Reviews-Izakaya_Han-Madrid.html
26,27. Ramen Kagura Opera,Argentinean,/Restaurant_Review-g187514-d6908622-Reviews-Ramen_Kagura_Opera-Madrid.html
27,28. Sr. Ito Lab,Argentinean,/Restaurant_Review-g187514-d13504426-Reviews-Sr_Ito_Lab-Madrid.html
28,29. Yokaloka,Argentinean,/Restaurant_Review-g187514-d6704298-Reviews-Yokaloka-Madrid.html
29,30. Kabuki Wellington,Argentinean,/Restaurant_Review-g187514-d1187547-Reviews-Kabuki_Wellington-Madrid.html
30,31. L'Artisan Furansu Kitchen,Argentinean,/Restaurant_Review-g187514-d3745959-Reviews-L_Artisan_Furansu_Kitchen-Madrid.html
31,32. Kabuki,Argentinean,/Restaurant_Review-g187514-d717249-Reviews-Kabuki-Madrid.html
32,33. Chow Chow Madrid,Argentinean,/Restaurant_Review-g187514-d12431974-Reviews-Chow_Chow_Madrid-Madrid.html
33,34. Restaurante Luxury,Argentinean,/Restaurant_Review-g187514-d8624466-Reviews-Restaurante_Luxury-Madrid.html
34,35. Umiko,Argentinean,/Restaurant_Review-g187514-d3410144-Reviews-Umiko-Madrid.html
35,36. Musashi,Argentinean,/Restaurant_Review-g187514-d717351-Reviews-Musashi-Madrid.html
36,37. Yugo The Bunker,Argentinean,/Restaurant_Review-g187514-d8738363-Reviews-Yugo_The_Bunker-Madrid.html
37,38. Gourmet Experience Gran Via,Argentinean,/Restaurant_Review-g187514-d4054213-Reviews-Gourmet_Experience_Gran_Via-Madrid.html
38,39. Hotaru Madrid,Argentinean,/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html
39,40. KIPPU,Argentinean,/Restaurant_Review-g187514-d16875464-Reviews-KIPPU-Madrid.html
40,41. Sushita Cafe,Argentinean,/Restaurant_Review-g187514-d7699864-Reviews-Sushita_Cafe-Madrid.html
41,42. Matcha Restaurante,Argentinean,/Restaurant_Review-g187514-d5262946-Reviews-Matcha_Restaurante-Madrid.html
42,43. Restaurante Konnichiwa,Argentinean,/Restaurant_Review-g187514-d12955894-Reviews-Restaurante_Konnichiwa-Madrid.html
43,44. Donzoko,Argentinean,/Restaurant_Review-g187514-d697513-Reviews-Donzoko-Madrid.html
44,45. Sushita Cafe - Miguel Angel,Argentinean,/Restaurant_Review-g187514-d10210239-Reviews-Sushita_Cafe_Miguel_Angel-Madrid.html
45,46. Tsukiji sushi bar,Argentinean,/Restaurant_Review-g187514-d12067952-Reviews-Tsukiji_sushi_bar-Madrid.html
46,47. kappo,Argentinean,/Restaurant_Review-g187514-d10948220-Reviews-Kappo-Madrid.html
47,48. Madame Sushita,Argentinean,/Restaurant_Review-g187514-d12611298-Reviews-Madame_Sushita-Madrid.html
48,49. Saisho,Argentinean,/Restaurant_Review-g187514-d13278406-Reviews-Saisho-Madrid.html
49,50. Raku Sushi,Argentinean,/Restaurant_Review-g187514-d9877640-Reviews-Raku_Sushi-Madrid.html
50,51. Yakitoro Castellana,Argentinean,/Restaurant_Review-g187514-d10186319-Reviews-Yakitoro_Castellana-Madrid.html
51,52. Chic Sushi,Argentinean,/Restaurant_Review-g187514-d11946719-Reviews-Chic_Sushi-Madrid.html
52,53. Lamonarracha-Chamberi,Argentinean,/Restaurant_Review-g187514-d20060353-Reviews-Lamonarracha_Chamberi-Madrid.html
53,54. Restaurante Soy de Pedro Espina,Argentinean,/Restaurant_Review-g187514-d2480326-Reviews-Restaurante_Soy_de_Pedro_Espina-Madrid.html
54,55. Izariya Madrid,Argentinean,/Restaurant_Review-g187514-d7619085-Reviews-Izariya_Madrid-Madrid.html
55,56. Smok Mok,Argentinean,/Restaurant_Review-g187514-d12215222-Reviews-Smok_Mok-Madrid.html
56,57. MACAO Principe,Argentinean,/Restaurant_Review-g187514-d15591064-Reviews-MACAO_Principe-Madrid.html
57,58. Restaurante Miki,Argentinean,/Restaurant_Review-g187514-d7229132-Reviews-Restaurante_Miki-Madrid.html
58,59. Janatomo,Argentinean,/Restaurant_Review-g187514-d795268-Reviews-Janatomo-Madrid.html
59,60. Balon Tokio,Argentinean,/Restaurant_Review-g187514-d12609365-Reviews-Balon_Tokio-Madrid.html
60,61. Shinatora Ya,Argentinean,/Restaurant_Review-g187514-d13159294-Reviews-Shinatora_Ya-Madrid.html
61,62. Green Tea Sushi & Cocktail - Hotel the Westin Palace,Argentinean,/Restaurant_Review-g187514-d7108912-Reviews-Green_Tea_Sushi_Cocktail_Hotel_the_Westin_Palace-Madrid.html
62,63. Mashita,Argentinean,/Restaurant_Review-g187514-d2298686-Reviews-Mashita-Madrid.html
63,64. Yoshi Sushi & More,Argentinean,/Restaurant_Review-g187514-d2098938-Reviews-Yoshi_Sushi_More-Madrid.html
64,65. Inari,Argentinean,/Restaurant_Review-g187514-d911197-Reviews-Inari-Madrid.html
65,66. Kzen,Argentinean,/Restaurant_Review-g187514-d2484681-Reviews-Kzen-Madrid.html
