,name,type,url_pics
0,30. Restaurante hawa bladi,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/cf/img-20200211-213733-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/ca/img-20200211-211725-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/d0/img-20200211-220031-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/cb/img-20200211-211735-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/d1/img-20200211-215631-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/cd/img-20200211-213602-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/ce/img-20200211-213612-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/dd/a0/d2/img-20200211-220542-largejpg.jpg']"
1,31. TanNUR,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/c6/1c/eb/tannur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bc/02/78/tannur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c6/1d/cc/tannur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c6/1d/e0/tannur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bc/02/84/tannur.jpg']"
2,32. Falafel Bowls Vegetarian & Vegan,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/18/e1/ce/e2/yummmm.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/e1/ce/d1/we-also-do-delicious.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/e1/ce/c8/fresh-salad.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/e1/cf/0b/just-for-you.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/e1/ce/b4/homemade-with-love.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/e1/ce/dd/delicious-hummus.jpg']"
3,33. Restaurante Ksara,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/26/c5/01/15/ksara-cupcakes-2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/c4/e8/63/kibbe-bel-caraz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/c4/e8/5e/roz-a-djej.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/c4/e8/5b/tabule.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/c4/e8/55/laban-w-asal.jpg']"
4,34. Volubilis Restaurant,Lebanese,['https://media-cdn.tripadvisor.com/media/photo-s/22/2d/06/87/ensalada-tabule-una-rica.jpg']
5,35. Leana,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/97/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8f/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/9a/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/93/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8a/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8b/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8c/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8b/homemade-lebanese-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/eb/fa/8c/homemade-lebanese-food.jpg']"
6,36. Habibi Restaurant Shisha Bar,Lebanese,['https://media-cdn.tripadvisor.com/media/photo-f/10/c8/e5/15/20170926-143025-largejpg.jpg']
7,37. Bar Restaurant Paradis,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/e6/paradis.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/f8/paradis.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/d5/shawarma-de-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/cc/arayes-de-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/8a/01/musaka.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/ea/paradis.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/8a/06/arayes-de-queso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/71/89/cf/kafta-de-ternera.jpg']"
8,38. Byblos,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/24/c6/54/85/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/24/c6/54/84/caption.jpg']"
9,39. Cafe Yafa,Lebanese,[]
10,40. Alrouche Restaurant,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/15/57/13/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/15/57/12/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/15/57/11/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f5/a3/26/hoy-hemos-vuelto-a-este.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f5/a3/26/hoy-hemos-vuelto-a-este.jpg']"
11,41. Habibi Restaurant & Lounge,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/1f/37/90/beautiful-pictures.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/1f/37/82/restaurant-interior.jpg']"
12,42. Restaurante rotana,Lebanese,['https://media-cdn.tripadvisor.com/media/photo-f/08/fc/c5/bd/salle-exterieur.jpg']
13,43. Narin,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/03/c8/25/42/narin.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c8/25/1d/narin.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c8/24/de/narin.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c8/25/6e/narin.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c8/24/ad/narin.jpg']"
14,44. Kargo's Cafe,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/75/d0/f1/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/75/d0/f2/caption.jpg']"
15,45. Falafel Street,Lebanese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/96/ensalada-de-quinoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/ab/hamburguesa-vegana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c4/7f/0e/ensalada-con-falafel.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/ac/bocadillo-de-falafel.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/ae/hamburguesa-vegana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/b6/ensalada-con-quinoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/c6/34/be/mix-de-hummus-con-pita.jpg']"
