,name,type,url_pics
0,1. Kiltro Restobar,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/21/40/ed/bd/cocktails-and-latin-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/57/92/e9/nuestra-gastronomia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/40/ed/d0/cocktails-and-latin-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/eb/8d/74/food-cocktails-ceviche.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/40/ef/fa/cocktails-and-latin-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/40/f0/07/cocktails-and-latin-food.jpg']"
1,2. Andele Paris,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/19/callo-de-hacha-mexico.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/69/6d/b2/cocktails.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/33/taco-que-cierra-no-es.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/18/pon-un-poco-de-lima-a.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/fd/13/15/sala.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/24/ven-a-andele-y-vive-la.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/32/combina-tu-comida-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/35/mexico-a-tu-paladar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/32/combina-tu-comida-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/fa/35/mexico-a-tu-paladar.jpg']"
2,3. The Box,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/16/f0/38/14/new-school-guacamole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/16/aa/d5/e0/decoracion-interior-interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/82/ec/f2/nachos-de-ternera.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/82/eb/ac/guacamole-hot-dog.jpg']"
3,4. Andele Santa Fe,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/0c/3a/39/9f/andele-santa-fe-terraza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/05/d3/8a/bf/merienda-perfecta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/e6/4c/60/restaurante-andele.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/3a/39/a0/andele-santa-fe-comedor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/c4/bf/2e/restaurante-andele.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/c4/c0/2b/restaurante-andele.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/c4/c0/10/restaurante-andele.jpg']"
4,5. Carabela Cafe,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-s/07/dc/f2/9e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/05/d2/7a/0f/carabela-cafe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/03/d8/70/48/carabela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/dc/f2/9d/matching-lipstick.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/39/c0/db/img-20161005-185846-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/f9/96/2c/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/85/ec/24/20180630-131838-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/85/ec/24/20180630-131838-largejpg.jpg']"
5,6. Chilango's Taqueria Barcelona,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/11/e8/76/04/clientes-de-la-taqueria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/e8/77/8d/burritos-en-chilangos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/00/36/b8/chilangos-taqueria-barcelona.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/e8/77/98/postres-caseros.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/e8/77/6f/plato-mexicano.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/00/37/4d/chilangos-taqueria-barcelona.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/00/36/96/chilangos-taqueria-barcelona.jpg']"
6,7. Maro Azul,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/8c/fc/42/tostada-de-atun.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/8c/fc/8b/restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/8c/fc/b2/terraza.jpg']"
7,8. Avocado,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/0f/a2/24/d2/tartar-de-salmon-tropical.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/a4/e0/67/yuca-un-entrante-ideal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d1/58/brownie-vegano.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/a4/dd/9f/burrito-el-plato-mas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d6/0d/nachos-y-tacos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/a2/33/49/interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d4/29/nachos-veganos-con-jackfruit.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d7/fd/sushi-version-vegana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/a2/32/d4/ensalada-avocado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d4/29/nachos-veganos-con-jackfruit.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a4/d7/fd/sushi-version-vegana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/a2/32/d4/ensalada-avocado.jpg']"
8,9. El Pachuco,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/f5/23/34/el-pachuco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/66/0f/46/el-pachuco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/a2/d1/42/img-20170907-151921-hht.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/bf/2f/af/p-20161126-163525-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/8b/25/5a/el-pachuco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/8b/25/5a/el-pachuco.jpg']"
9,10. Tlaxcal,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/16/f5/0d/f7/tacos-de-pescado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f5/0d/bf/tacos-al-pastor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f5/0d/35/guacamole-con-chicharron.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f5/0e/97/tacos-de-cabeza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/f5/0e/43/enchilada-roja.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/c3/58/e0/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/c3/58/e1/photo2jpg.jpg']"
