,name,type,url_pics
0,1. Santita Virgen de los Peligros,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/22/0a/19/una-de-las-cosas-mas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/16/84/74/local-santita.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/63/c7/74/iya-estamos-aqui-ven.jpg']"
1,2. Sakale,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/16/76/c9/c3/sushi-caribe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/7c/sushi-rolls.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/2a/11/16/peceras-para-compartir.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/87/ad/72/burger-de-salmon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/87/ad/80/ensalada-neptuno.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/48/sushi-roll-fuji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/db/4b/56/sushi-roll-fantasy.jpg']"
2,3. Santita Fuencarral,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/22/09/b5/los-tacos-son-por-excelencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/36/bf/23/sala-2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/36/be/71/barra.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/36/be/fa/sala-3.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/22/07/6c/una-de-las-cosas-mas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/63/c7/2c/iya-estamos-aqui-ven.jpg']"
3,4. Bakan Madrid,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/21/a8/c2/5b/nuestras-carnes-y-pescados.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/a8/c2/4d/asados-a-la-lena-de-encino.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/a8/c2/4b/no-se-llama-tentacion.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/a8/c2/46/elaboramos-nuestras-tortillas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/a8/c2/37/los-mas-exquisitos-manjares.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a8/c2/34/una-terraza-con-vistas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a8/c2/2b/un-acogedor-jardin-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a8/c2/1e/recetas-y-tecnicas-caracterist.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/a8/c2/1a/para-conseguir-un-sabor.jpg']"
4,5. Cherry Pecas,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-s/0e/8c/fd/9b/tacos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0b/c0/68/1a/nachos-cherry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0b/c0/68/1b/quesadilla-vegana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/c0/6a/d1/burrito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0e/8c/fd/53/tacos-cherry-pecas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/8c/fe/dc/terraza-de-cherry-pecas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0e/8c/fd/84/cherry-pecas-paseo-de.jpg']"
5,6. Tacos & Tapas,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/5f/chili-con-nachos-menu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/7e/enmolada-de-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/82/ensalada-menu-del-dia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/c6/b1/80/tacos-de-barbacoa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/db/tarta-de-chocolate.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/78/enchilada-de-carne.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/3a/5c/c8/tacos-de-cochinita-pibil.jpg']"
6,7. Cruda Restaurante,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/97/43/31/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/97/43/19/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/98/1e/bb/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/97/43/2b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/97/43/2d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/82/e1/a8/cebiche-acapulco-en-el.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/9e/27/51/nuestro-black-margarita.jpg']"
7,8. Nacho Bravo,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/87/67/e1/cacerola-de-queso-y-chistorra.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9f/14/9a/burrito-de-carne-mechada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/87/67/1c/chicharrones-fresco-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9f/14/6d/taco-crunchy-pollo-especial.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9f/14/83/tostada-de-atun.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/87/67/87/tostada-de-reina-pepiada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9f/14/5f/los-nachos-de-nacho-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/95/a9/53/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/9f/14/5f/los-nachos-de-nacho-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/95/a9/53/caption.jpg']"
8,9. Mawey Taco Bar - Gran Via,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/7e/tacos-de-pato-con-mole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/45/tacos-de-cochinita-pibil.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/51/f3/tarta-de-queso-con-panela.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/13/taco-a-rabe-con-chile.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/26/tacos-de-carne-de-res.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/8f/tacos-de-pez-mantequilla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/52/60/tacos-de-oreja-y-sepia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/82/51/bc/local.jpg']"
9,10. La Rodaja,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/15/cc/89/e9/vacaciones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/90/4f/aa/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/90/4f/a8/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bc/e9/ac/20210313-143117-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/42/db/ae/chimichanga.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/3e/eb/ef/img-20180610-223800-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/da/4b/34/tinga-de-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/20/ab/04/nachos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/10/06/ea/img-20180523-222212-largejpg.jpg']"
