,name,type,url_pics
0,170. Chef2Me,Mexican,[]
1,171. La Cosecha,Mexican,[]
2,172. Ricos Tacos Canillejas,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/64/c8/3c/los-tacos-de-ricos-tacos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/64/c8/2d/ricos-tacos-tambien-cuenta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/64/c8/2e/healthy-food-en-ricos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/64/c8/47/big-quesadilla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/64/c8/29/ricos-tacos-nachos-tacos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/64/c8/32/para-los-amantes-del.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/64/c8/2b/alcala-608.jpg']"
3,173. Gracias Padre Zona Rosa,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/2c/ae/c7/gracias-padre-zona-rosa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/2c/ae/88/gracias-padre-zona-rosa.jpg']"
4,174. Restaurante El Tio Taco,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/e7/b1/e1/nachos-con-guacamole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e2/b8/d4/nachos-con-goucamole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e2/bc/46/tacos-del-tio-taco.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e4/e6/b4/alitas-a-la-diabla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e2/b9/3e/tamal-con-tinga-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e4/e6/97/jalapenos-rellenos-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/e2/b9/e5/flautas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/e4/1e/60/faxitas.jpg']"
5,175. Tako Away Atocha,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/0e/5f/a5/89/tako-away.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/2a/10/80/tako-away.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/38/77/0f/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/5f/a5/34/tako-away.jpg']"
6,176. Monchis,Mexican,[]
7,177. Tiki Taco Clavel,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/27/38/58/7e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/38/58/7d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/c4/b2/4f/caption.jpg']"
8,178. Chapala,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/68/bueno-bonito-y-baratito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/66/que-mas-puedes-pedir.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/6c/chapala-logo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/af/el-logotipo-de-nuestro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/63/chapala-take-away-pide.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f4/ab/63/chapala-take-away-pide.jpg']"
9,179. Umami Restaurante,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/a9/c1/ad/a-que-esperas-para-hacer.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/a9/c0/65/bienvenidos-a-umami-restaurant.jpg']"
10,180. Taqueria de Los Batos,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/14/b6/a0/1e/nachos-con-pollo-queso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/b6/a0/16/este-es-nuestro-comedor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/b6/a0/24/tacos-cochinita-pibil.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/b6/a8/5d/ilos-cocteles-son-otra.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/b6/a0/14/asi-es-taqueria-los-batos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/7e/cb/bd/20190216-214310-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/bb/50/6f/20170921-161623-largejpg.jpg']"
11,181. Taqueria La Lupita,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-s/14/61/e7/32/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/61/e7/31/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/73/1d/0c/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/05/c3/cc/taqueria-la-lupita.jpg']"
