,name,type,urls
0,1. Kiltro Restobar,Argentinean,/Restaurant_Review-g187497-d17423137-Reviews-Kiltro_Restobar-Barcelona_Catalonia.html
1,2. Andele Paris,Argentinean,/Restaurant_Review-g187497-d11914428-Reviews-Andele_Paris-Barcelona_Catalonia.html
2,3. The Box,Argentinean,/Restaurant_Review-g187497-d5820228-Reviews-The_Box-Barcelona_Catalonia.html
3,4. Andele Santa Fe,Argentinean,/Restaurant_Review-g187497-d826469-Reviews-Andele_Santa_Fe-Barcelona_Catalonia.html
4,5. Carabela Cafe,Argentinean,/Restaurant_Review-g187497-d1600233-Reviews-Carabela_Cafe-Barcelona_Catalonia.html
5,6. Chilango's Taqueria Barcelona,Argentinean,/Restaurant_Review-g187497-d12978144-Reviews-Chilango_s_Taqueria_Barcelona-Barcelona_Catalonia.html
6,7. Maro Azul,Argentinean,/Restaurant_Review-g187497-d19741289-Reviews-Maro_Azul-Barcelona_Catalonia.html
7,8. Avocado,Argentinean,/Restaurant_Review-g187497-d12413457-Reviews-Avocado-Barcelona_Catalonia.html
8,9. El Pachuco,Argentinean,/Restaurant_Review-g187497-d4913325-Reviews-El_Pachuco-Barcelona_Catalonia.html
9,10. Tlaxcal,Argentinean,/Restaurant_Review-g187497-d2321735-Reviews-Tlaxcal-Barcelona_Catalonia.html
10,11. Foc,Argentinean,/Restaurant_Review-g187497-d3140781-Reviews-Foc-Barcelona_Catalonia.html
11,12. La Catrina Fusion,Argentinean,/Restaurant_Review-g187497-d8432082-Reviews-La_Catrina_Fusion-Barcelona_Catalonia.html
12,13. Taquerias Tamarindo,Argentinean,/Restaurant_Review-g187497-d6602986-Reviews-Taquerias_Tamarindo-Barcelona_Catalonia.html
13,14. Costa Pacifico,Argentinean,/Restaurant_Review-g187497-d10874765-Reviews-Costa_Pacifico-Barcelona_Catalonia.html
14,15. La Guerita Mexicana,Argentinean,/Restaurant_Review-g187497-d16805419-Reviews-La_Guerita_Mexicana-Barcelona_Catalonia.html
15,16. Tope,Argentinean,/Restaurant_Review-g187497-d24121860-Reviews-Tope-Barcelona_Catalonia.html
16,17. Sabes una cosa,Argentinean,/Restaurant_Review-g187497-d7113337-Reviews-Sabes_una_cosa-Barcelona_Catalonia.html
17,18. Tropico Brunch Barcelona,Argentinean,/Restaurant_Review-g187497-d6953348-Reviews-Tropico_Brunch_Barcelona-Barcelona_Catalonia.html
18,19. Zero 20,Argentinean,/Restaurant_Review-g187497-d12741799-Reviews-Zero_20-Barcelona_Catalonia.html
19,20. La Taqueria,Argentinean,/Restaurant_Review-g187497-d2590132-Reviews-La_Taqueria-Barcelona_Catalonia.html
20,21. Margarita Blue,Argentinean,/Restaurant_Review-g187497-d717334-Reviews-Margarita_Blue-Barcelona_Catalonia.html
21,22. Rosa Negra,Argentinean,/Restaurant_Review-g187497-d800338-Reviews-Rosa_Negra-Barcelona_Catalonia.html
22,23. Las Mananitas - Tex Mex BCN,Argentinean,/Restaurant_Review-g187497-d3136985-Reviews-Las_Mananitas_Tex_Mex_BCN-Barcelona_Catalonia.html
23,24. Rosa del Raval,Argentinean,/Restaurant_Review-g187497-d777241-Reviews-Rosa_del_Raval-Barcelona_Catalonia.html
24,25. Pikio Taco,Argentinean,/Restaurant_Review-g187497-d5794988-Reviews-Pikio_Taco-Barcelona_Catalonia.html
25,26. Burritos - San Pere (Barcelona),Argentinean,/Restaurant_Review-g187497-d21338415-Reviews-Burritos_San_Pere_Barcelona-Barcelona_Catalonia.html
26,27. RESTAURANTE MEXCLA,Argentinean,/Restaurant_Review-g187497-d4419361-Reviews-RESTAURANTE_MEXCLA-Barcelona_Catalonia.html
27,28. Matt & Marshall,Argentinean,/Restaurant_Review-g187497-d23444175-Reviews-Matt_Marshall-Barcelona_Catalonia.html
28,29. La Heladeria Mexicana,Argentinean,/Restaurant_Review-g187497-d3251102-Reviews-La_Heladeria_Mexicana-Barcelona_Catalonia.html
29,30. La Quesadilla By Fernando Sanz,Argentinean,/Restaurant_Review-g187497-d16738650-Reviews-La_Quesadilla_By_Fernando_Sanz-Barcelona_Catalonia.html
30,31. Bar Calders,Argentinean,/Restaurant_Review-g187497-d2547242-Reviews-Bar_Calders-Barcelona_Catalonia.html
31,32. Chihuahua Restaurant,Argentinean,/Restaurant_Review-g187497-d6704204-Reviews-Chihuahua_Restaurant-Barcelona_Catalonia.html
32,33. Tacos Tacos,Argentinean,/Restaurant_Review-g187497-d3574410-Reviews-Tacos_Tacos-Barcelona_Catalonia.html
33,34. La Cantina Mexicana,Argentinean,/Restaurant_Review-g187497-d6116770-Reviews-La_Cantina_Mexicana-Barcelona_Catalonia.html
34,35. Las Planchitas - Taqueria Mexicana,Argentinean,/Restaurant_Review-g187497-d16819623-Reviews-Las_Planchitas_Taqueria_Mexicana-Barcelona_Catalonia.html
35,36. La Catrina de Barcelona,Argentinean,/Restaurant_Review-g187497-d8478058-Reviews-La_Catrina_de_Barcelona-Barcelona_Catalonia.html
36,37. el tianguis,Argentinean,/Restaurant_Review-g187497-d6953341-Reviews-El_tianguis-Barcelona_Catalonia.html
37,38. Gastro-Taqueria Mexicana,Argentinean,/Restaurant_Review-g187497-d4149369-Reviews-Gastro_Taqueria_Mexicana-Barcelona_Catalonia.html
38,"39. San Pedrito, Restaurante Y Licoreria",Argentinean,/Restaurant_Review-g187497-d12959783-Reviews-San_Pedrito_Restaurante_Y_Licoreria-Barcelona_Catalonia.html
39,40. Mariposa Negra Cocktail Bar,Argentinean,/Restaurant_Review-g187497-d23763916-Reviews-Mariposa_Negra_Cocktail_Bar-Barcelona_Catalonia.html
40,41. La Pachuca,Argentinean,/Restaurant_Review-g187497-d17756473-Reviews-La_Pachuca-Barcelona_Catalonia.html
41,42. Gallo Santo,Argentinean,/Restaurant_Review-g187497-d15295534-Reviews-Gallo_Santo-Barcelona_Catalonia.html
42,43. Oaxaca Cuina Mexicana,Argentinean,/Restaurant_Review-g187497-d7019028-Reviews-Oaxaca_Cuina_Mexicana-Barcelona_Catalonia.html
43,44. Canta Y No Llores,Argentinean,/Restaurant_Review-g187497-d13847868-Reviews-Canta_Y_No_Llores-Barcelona_Catalonia.html
44,45. Quiote Mezcaleria,Argentinean,/Restaurant_Review-g187497-d19526784-Reviews-Quiote_Mezcaleria-Barcelona_Catalonia.html
