,name,type,urls
0,1. Santita Virgen de los Peligros,Argentinean,/Restaurant_Review-g187514-d17655334-Reviews-Santita_Virgen_de_los_Peligros-Madrid.html
1,2. Sakale,Argentinean,/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html
2,3. Santita Fuencarral,Argentinean,/Restaurant_Review-g187514-d15756205-Reviews-Santita_Fuencarral-Madrid.html
3,4. Bakan Madrid,Argentinean,/Restaurant_Review-g187514-d23758787-Reviews-Bakan_Madrid-Madrid.html
4,5. Cherry Pecas,Argentinean,/Restaurant_Review-g187514-d8635064-Reviews-Cherry_Pecas-Madrid.html
5,6. Tacos & Tapas,Argentinean,/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html
6,7. Cruda Restaurante,Argentinean,/Restaurant_Review-g187514-d21012227-Reviews-Cruda_Restaurante-Madrid.html
7,8. Nacho Bravo,Argentinean,/Restaurant_Review-g187514-d15273626-Reviews-Nacho_Bravo-Madrid.html
8,9. Mawey Taco Bar - Gran Via,Argentinean,/Restaurant_Review-g187514-d15873362-Reviews-Mawey_Taco_Bar_Gran_Via-Madrid.html
9,10. La Rodaja,Argentinean,/Restaurant_Review-g187514-d7067710-Reviews-La_Rodaja-Madrid.html
10,11. Casa Jaguar Madrid,Argentinean,/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html
11,12. Tacocteleria,Argentinean,/Restaurant_Review-g187514-d21505471-Reviews-Tacocteleria-Madrid.html
12,13. MAWEY Taco Bar - Olid,Argentinean,/Restaurant_Review-g187514-d13206017-Reviews-MAWEY_Taco_Bar_Olid-Madrid.html
13,14. Taman,Argentinean,/Restaurant_Review-g187514-d17431228-Reviews-Taman-Madrid.html
14,15. La Chamana,Argentinean,/Restaurant_Review-g187514-d12928989-Reviews-La_Chamana-Madrid.html
15,La Metixe. Taberna Mexicana,Argentinean,/Restaurant_Review-g187514-d23935592-Reviews-La_Metixe_Taberna_Mexicana-Madrid.html
16,16. El Rey de Los Tacos,Argentinean,/Restaurant_Review-g187514-d13112972-Reviews-El_Rey_de_Los_Tacos-Madrid.html
17,17. Entre Suspiro y Suspiro,Argentinean,/Restaurant_Review-g187514-d991340-Reviews-Entre_Suspiro_y_Suspiro-Madrid.html
18,18. Oyamel,Argentinean,/Restaurant_Review-g187514-d6451570-Reviews-Oyamel-Madrid.html
19,19. Le Coq Atocha,Argentinean,/Restaurant_Review-g187514-d23219397-Reviews-Le_Coq_Atocha-Madrid.html
20,20. Sol Azteca,Argentinean,/Restaurant_Review-g187514-d8754112-Reviews-Sol_Azteca-Madrid.html
21,21. Sahuaro,Argentinean,/Restaurant_Review-g187514-d12401290-Reviews-Sahuaro-Madrid.html
22,22. Tierra Burrito Bar,Argentinean,/Restaurant_Review-g187514-d3748744-Reviews-Tierra_Burrito_Bar-Madrid.html
23,23. Sonys Food,Argentinean,/Restaurant_Review-g187514-d7258778-Reviews-Sonys_Food-Madrid.html
24,24. KITIPUN Gourmex,Argentinean,/Restaurant_Review-g187514-d23505930-Reviews-KITIPUN_Gourmex-Madrid.html
25,25. Burmet,Argentinean,/Restaurant_Review-g187514-d18980640-Reviews-Burmet-Madrid.html
26,26. Solito Taqueria Mexicana,Argentinean,/Restaurant_Review-g187514-d21359891-Reviews-Solito_Taqueria_Mexicana-Madrid.html
27,27. La Mordida Belen,Argentinean,/Restaurant_Review-g187514-d991115-Reviews-La_Mordida_Belen-Madrid.html
28,28. El Rincon de los Cuates,Argentinean,/Restaurant_Review-g187514-d7718507-Reviews-El_Rincon_de_los_Cuates-Madrid.html
29,29. La Mordida de Fuentes,Argentinean,/Restaurant_Review-g187514-d1163070-Reviews-La_Mordida_de_Fuentes-Madrid.html
30,30. Lynch Madrid,Argentinean,/Restaurant_Review-g187514-d23409097-Reviews-Lynch_Madrid-Madrid.html
31,31. Comete Mexico,Argentinean,/Restaurant_Review-g187514-d10136354-Reviews-Comete_Mexico-Madrid.html
32,32. Taqueria La Lupita,Argentinean,/Restaurant_Review-g187514-d5937733-Reviews-Taqueria_La_Lupita-Madrid.html
33,33. Ay! Rosa Restaurante,Argentinean,/Restaurant_Review-g187514-d3734899-Reviews-Ay_Rosa_Restaurante-Madrid.html
34,34. La Tomata,Argentinean,/Restaurant_Review-g187514-d7604621-Reviews-La_Tomata-Madrid.html
35,35. Cantina Canalla - Antracita,Argentinean,/Restaurant_Review-g187514-d12310604-Reviews-Cantina_Canalla_Antracita-Madrid.html
36,36. Tepic,Argentinean,/Restaurant_Review-g187514-d1024256-Reviews-Tepic-Madrid.html
37,37. Munchies Hot Dog,Argentinean,/Restaurant_Review-g187514-d7704992-Reviews-Munchies_Hot_Dog-Madrid.html
38,38. Mexcalista,Argentinean,/Restaurant_Review-g187514-d19249621-Reviews-Mexcalista-Madrid.html
39,39. La Mordida Bernabeu,Argentinean,/Restaurant_Review-g187514-d7359645-Reviews-La_Mordida_Bernabeu-Madrid.html
40,40. Puntarena,Argentinean,/Restaurant_Review-g187514-d15542422-Reviews-Puntarena-Madrid.html
41,41. Tacos Chapultepec,Argentinean,/Restaurant_Review-g187514-d2637686-Reviews-Tacos_Chapultepec-Madrid.html
42,42. Taqueria La Lupita,Argentinean,/Restaurant_Review-g187514-d7805348-Reviews-Taqueria_La_Lupita-Madrid.html
43,43. Taquería Mi Ciudad,Argentinean,/Restaurant_Review-g187514-d2100039-Reviews-Taqueri_a_Mi_Ciudad-Madrid.html
44,44. Macuto / Autentico Latino,Argentinean,/Restaurant_Review-g187514-d17752465-Reviews-Macuto_Autentico_Latino-Madrid.html
45,45. Tucana Panamerican Bistro,Argentinean,/Restaurant_Review-g187514-d24033408-Reviews-Tucana_Panamerican_Bistro-Madrid.html
46,La Metixe. Taberna Mexicana,Argentinean,/Restaurant_Review-g187514-d23935592-Reviews-La_Metixe_Taberna_Mexicana-Madrid.html
47,46. Maria Bonita,Argentinean,/Restaurant_Review-g187514-d2492757-Reviews-Maria_Bonita-Madrid.html
48,47. The Food Fighters BBQ,Argentinean,/Restaurant_Review-g187514-d15202376-Reviews-The_Food_Fighters_BBQ-Madrid.html
49,48. Mestizo,Argentinean,/Restaurant_Review-g187514-d1023937-Reviews-Mestizo-Madrid.html
50,49. Cutzamala Mex Food,Argentinean,/Restaurant_Review-g187514-d7596740-Reviews-Cutzamala_Mex_Food-Madrid.html
51,50. DF Bar Torteria,Argentinean,/Restaurant_Review-g187514-d1751678-Reviews-DF_Bar_Torteria-Madrid.html
52,51. Taqueria El Chilar,Argentinean,/Restaurant_Review-g187514-d17622265-Reviews-Taqueria_El_Chilar-Madrid.html
53,52. La Mordida Retiro,Argentinean,/Restaurant_Review-g187514-d3134595-Reviews-La_Mordida_Retiro-Madrid.html
54,53. Los Nachos de Oro,Argentinean,/Restaurant_Review-g187514-d8096537-Reviews-Los_Nachos_de_Oro-Madrid.html
55,54. Gracias Padre Jungle Club,Argentinean,/Restaurant_Review-g187514-d15202444-Reviews-Gracias_Padre_Jungle_Club-Madrid.html
56,55. El Secreto De Lopez,Argentinean,/Restaurant_Review-g187514-d10302140-Reviews-El_Secreto_De_Lopez-Madrid.html
57,56. Tierra Burrito Bar,Argentinean,/Restaurant_Review-g187514-d10468160-Reviews-Tierra_Burrito_Bar-Madrid.html
58,57. Taqueria del Alamillo,Argentinean,/Restaurant_Review-g187514-d697520-Reviews-Taqueria_del_Alamillo-Madrid.html
59,58. La Gastro Salvaje,Argentinean,/Restaurant_Review-g187514-d13093488-Reviews-La_Gastro_Salvaje-Madrid.html
60,59. Noqno,Argentinean,/Restaurant_Review-g187514-d8068567-Reviews-Noqno-Madrid.html
61,60. El Zocalo,Argentinean,/Restaurant_Review-g187514-d18591849-Reviews-El_Zocalo-Madrid.html
62,La Metixe. Taberna Mexicana,Argentinean,/Restaurant_Review-g187514-d23935592-Reviews-La_Metixe_Taberna_Mexicana-Madrid.html
63,61. Restaurante Mezcal,Argentinean,/Restaurant_Review-g187514-d10326909-Reviews-Restaurante_Mezcal-Madrid.html
64,62. Cantina Roo,Argentinean,/Restaurant_Review-g187514-d13956179-Reviews-Cantina_Roo-Madrid.html
65,63. La Taqueria de Birra (Don Pedro),Argentinean,/Restaurant_Review-g187514-d3775380-Reviews-La_Taqueria_de_Birra_Don_Pedro-Madrid.html
66,64. Corazon de Agave Mezcaloteca,Argentinean,/Restaurant_Review-g187514-d7724310-Reviews-Corazon_de_Agave_Mezcaloteca-Madrid.html
67,65. Peyote San,Argentinean,/Restaurant_Review-g187514-d12224244-Reviews-Peyote_San-Madrid.html
68,66. Jleos Cocina Med Mex,Argentinean,/Restaurant_Review-g187514-d8602219-Reviews-Jleos_Cocina_Med_Mex-Madrid.html
69,67. Tierra Burrito Bar,Argentinean,/Restaurant_Review-g187514-d8343984-Reviews-Tierra_Burrito_Bar-Madrid.html
70,68. El Chaparrito,Argentinean,/Restaurant_Review-g187514-d1886988-Reviews-El_Chaparrito-Madrid.html
71,69. Reganadientes,Argentinean,/Restaurant_Review-g187514-d17574485-Reviews-Reganadientes-Madrid.html
72,70. Jeronimo,Argentinean,/Restaurant_Review-g187514-d23922794-Reviews-Jeronimo-Madrid.html
73,71. El Jalapeno,Argentinean,/Restaurant_Review-g187514-d3371887-Reviews-El_Jalapeno-Madrid.html
74,72. Canalla Lounge,Argentinean,/Restaurant_Review-g187514-d13153802-Reviews-Canalla_Lounge-Madrid.html
75,73. La Mordida Princesa,Argentinean,/Restaurant_Review-g187514-d4162711-Reviews-La_Mordida_Princesa-Madrid.html
76,74. Dog & Fox Urban Kitchen,Argentinean,/Restaurant_Review-g187514-d15212060-Reviews-Dog_Fox_Urban_Kitchen-Madrid.html
77,75. El Chaparritos,Argentinean,/Restaurant_Review-g187514-d4402847-Reviews-El_Chaparritos-Madrid.html
78,76. Mero Mexico,Argentinean,/Restaurant_Review-g187514-d12243034-Reviews-Mero_Mexico-Madrid.html
79,77. El Estribito Chil-mex,Argentinean,/Restaurant_Review-g187514-d3864708-Reviews-El_Estribito_Chil_mex-Madrid.html
80,78. Iztac,Argentinean,/Restaurant_Review-g187514-d14176861-Reviews-Iztac-Madrid.html
81,79. Hijo Del Maiz,Argentinean,/Restaurant_Review-g187514-d23874456-Reviews-Hijo_Del_Maiz-Madrid.html
82,80. Wacamole,Argentinean,/Restaurant_Review-g187514-d19601565-Reviews-Wacamole-Madrid.html
83,81. Orale Compadre,Argentinean,/Restaurant_Review-g187514-d967419-Reviews-Orale_Compadre-Madrid.html
84,82. La Catrina Cantina Mezcaleria,Argentinean,/Restaurant_Review-g187514-d3507381-Reviews-La_Catrina_Cantina_Mezcaleria-Madrid.html
85,83. Chido,Argentinean,/Restaurant_Review-g187514-d15757526-Reviews-Chido-Madrid.html
