,name,type,url_pics
0,1. Kluska Na Placu,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/28/00/cc/94/silesian-dumplings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/26/f9/08/f7/group-christmas-eve-offer.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/25/a5/38/f4/silesian-dumplings.jpg']"
1,2. Restauracja Starka,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/51/76/41/interior-design.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1b/ff/da/poledwiczka-wieprzowa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/09/80/a1/our-wonderful-staff.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1b/fd/a8/pierogi-ze-szpinakiem.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1b/fd/af/ogrodek-starki.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1b/fe/ad/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/0f/66/de/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/1b/fe/a8/piers-z-kaczki.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/0f/67/0a/caption.jpg']"
2,3. Old Town Restaurant Wine & Bar,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/08/58/96/36/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/58/96/9b/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/5c/5d/e3/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/58/98/d4/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/5c/5e/4a/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/56/77/a7/old-town.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/5c/5c/fe/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/7c/ba/88/old-town-restaurant-wine.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/7c/ba/88/old-town-restaurant-wine.jpg']"
3,4. Czarna Kaczka The Black Duck,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/02/2b/6c/our-garden.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/02/2a/ca/half-of-the-roasted-duck.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/02/2b/77/interiors-of-czarna-kaczka.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/02/2a/c1/half-of-the-roasted-duck.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/9d/c4/c6/look-for-the-sign-the.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/8d/f6/66/small-but-comfortable.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/c9/7d/62/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/02/2a/bc/duck-and-seasonal-fruit.jpg']"
4,5. Nakryto Kuchnia Polska,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/f3/75/f3/ciasto-marchewkowe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f3/73/81/polska-miska-weganska.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f3/75/9e/tatar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f3/76/1f/kogucik-faszerowany.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/f3/72/b2/sorbet-mango-z-kokosanka.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/e6/fd/49/nasze-logo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/e6/fd/4e/tlo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/b1/0a/d8/ciastko-czekoladowe.jpg']"
5,6. Kuchnia Polska Gaska,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/1f/49/f2/dd/bread.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a8/03/placki-ziemniaczane-z.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a8/0b/gesia-watrobka-na-rukoli.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a8/12/poledwiczka-wieprzowa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a8/25/tradycyjny-kotlet-schabowy.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a7/ff/filet-z-kurczaka-w-sosie.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/df/a7/f5/polskie-pierogi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/03/66/3d/discover-the-richness.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/03/66/71/goose-breast-marinated.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/b5/a0/c1/ribs-marinated-in-dark.jpg']"
6,7. Szynk,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/06/2d/61/6f/szynk.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/2d/60/e0/szynk.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/2d/60/ff/szynk.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/2d/61/1e/szynk.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/2d/61/3c/szynk.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/99/ff/fb/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/99/ff/fd/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/99/ff/fc/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/99/ff/fa/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/99/ff/fa/caption.jpg']"
7,8. Kuchnia u Doroty,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/32/6f/8a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/32/6f/8b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/32/6f/89/caption.jpg']"
8,9. Restauracja Pod Zlotym Karpiem,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/b3/ice-cream-selection.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/8e/beef-tartare-pickles.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/6d/meringue-cake-with-mascarpone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/80/stewed-beef-cheeks-served.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/9b/chocolate-cake-with-raspberry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/ff/71/d3/traditional-cracow-dish.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/ff/71/86/fish-soup-spicy-pepper.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/ff/71/82/trout-fillet-fried-in.jpg']"
9,10. Biala Roza,Polish,"['https://media-cdn.tripadvisor.com/media/photo-f/21/e8/18/c8/22-menu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/50/e1/79/fine-dining.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/de/b0/74/biala-roza-interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/e8/18/b5/22-menu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/50/df/fc/fine-dining.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/50/d9/e6/fine-dining.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/50/fa/63/fot-mateusz-torbus.jpg']"
