,name,type,urls
0,1. Kluska Na Placu,Argentinean,/Restaurant_Review-g274772-d24941563-Reviews-Kluska_Na_Placu-Krakow_Lesser_Poland_Province_Southern_Poland.html
1,2. Restauracja Starka,Argentinean,/Restaurant_Review-g274772-d1749958-Reviews-Restauracja_Starka-Krakow_Lesser_Poland_Province_Southern_Poland.html
2,3. Old Town Restaurant Wine & Bar,Argentinean,/Restaurant_Review-g274772-d8412137-Reviews-Old_Town_Restaurant_Wine_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html
3,4. Czarna Kaczka The Black Duck,Argentinean,/Restaurant_Review-g274772-d5953938-Reviews-Czarna_Kaczka_The_Black_Duck-Krakow_Lesser_Poland_Province_Southern_Poland.html
4,5. Nakryto Kuchnia Polska,Argentinean,/Restaurant_Review-g274772-d14072070-Reviews-Nakryto_Kuchnia_Polska-Krakow_Lesser_Poland_Province_Southern_Poland.html
5,6. Kuchnia Polska Gaska,Argentinean,/Restaurant_Review-g274772-d11909192-Reviews-Kuchnia_Polska_Gaska-Krakow_Lesser_Poland_Province_Southern_Poland.html
6,7. Szynk,Argentinean,/Restaurant_Review-g274772-d3206646-Reviews-Szynk-Krakow_Lesser_Poland_Province_Southern_Poland.html
7,8. Kuchnia u Doroty,Argentinean,/Restaurant_Review-g274772-d1993331-Reviews-Kuchnia_u_Doroty-Krakow_Lesser_Poland_Province_Southern_Poland.html
8,9. Restauracja Pod Zlotym Karpiem,Argentinean,/Restaurant_Review-g274772-d14113248-Reviews-Restauracja_Pod_Zlotym_Karpiem-Krakow_Lesser_Poland_Province_Southern_Poland.html
9,10. Biala Roza,Argentinean,/Restaurant_Review-g274772-d2693229-Reviews-Biala_Roza-Krakow_Lesser_Poland_Province_Southern_Poland.html
10,11. Mirror Bistro - Pierogi Bystro,Argentinean,/Restaurant_Review-g274772-d13995644-Reviews-Mirror_Bistro_Pierogi_Bystro-Krakow_Lesser_Poland_Province_Southern_Poland.html
11,12. Morskie Oko,Argentinean,/Restaurant_Review-g274772-d1802187-Reviews-Morskie_Oko-Krakow_Lesser_Poland_Province_Southern_Poland.html
12,13. Szara Ges,Argentinean,/Restaurant_Review-g274772-d10597766-Reviews-Szara_Ges-Krakow_Lesser_Poland_Province_Southern_Poland.html
13,14. Restauracja Szalone Widelce,Argentinean,/Restaurant_Review-g274772-d7062959-Reviews-Restauracja_Szalone_Widelce-Krakow_Lesser_Poland_Province_Southern_Poland.html
14,15. Cafe Art,Argentinean,/Restaurant_Review-g274772-d2479843-Reviews-Cafe_Art-Krakow_Lesser_Poland_Province_Southern_Poland.html
15,16. Pierogi MR Vincent,Argentinean,/Restaurant_Review-g274772-d1646854-Reviews-Pierogi_MR_Vincent-Krakow_Lesser_Poland_Province_Southern_Poland.html
16,17. Kogel Mogel Restaurant,Argentinean,/Restaurant_Review-g274772-d3206596-Reviews-Kogel_Mogel_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
17,18. Piwnica Pod Kominkiem,Argentinean,/Restaurant_Review-g274772-d6701258-Reviews-Piwnica_Pod_Kominkiem-Krakow_Lesser_Poland_Province_Southern_Poland.html
18,19. Pierwszy Stopien,Argentinean,/Restaurant_Review-g274772-d12922165-Reviews-Pierwszy_Stopien-Krakow_Lesser_Poland_Province_Southern_Poland.html
19,20. Smakolyki,Argentinean,/Restaurant_Review-g274772-d2340711-Reviews-Smakolyki-Krakow_Lesser_Poland_Province_Southern_Poland.html
20,21. Zalewajka,Argentinean,/Restaurant_Review-g274772-d5111857-Reviews-Zalewajka-Krakow_Lesser_Poland_Province_Southern_Poland.html
21,22. Domowe Przysmaki,Argentinean,/Restaurant_Review-g274772-d796574-Reviews-Domowe_Przysmaki-Krakow_Lesser_Poland_Province_Southern_Poland.html
22,23. Pod Aniolami,Argentinean,/Restaurant_Review-g274772-d697135-Reviews-Pod_Aniolami-Krakow_Lesser_Poland_Province_Southern_Poland.html
23,24. Restauracja Polska,Argentinean,/Restaurant_Review-g274772-d10347936-Reviews-Restauracja_Polska-Krakow_Lesser_Poland_Province_Southern_Poland.html
24,25. Pod Baranem,Argentinean,/Restaurant_Review-g274772-d1009017-Reviews-Pod_Baranem-Krakow_Lesser_Poland_Province_Southern_Poland.html
25,26. Restauracja Sasiedzi,Argentinean,/Restaurant_Review-g274772-d2086676-Reviews-Restauracja_Sasiedzi-Krakow_Lesser_Poland_Province_Southern_Poland.html
26,27. Od Jajka Do Jablka,Argentinean,/Restaurant_Review-g274772-d7743457-Reviews-Od_Jajka_Do_Jablka-Krakow_Lesser_Poland_Province_Southern_Poland.html
