,name,type,url_pics
0,1. Los Montes de Galicia,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/da/af/2b/elegante-diferente-comodo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/da/af/16/nuestros-bunuelos-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/da/af/24/hamburguesa-de-wayu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/1f/3f/e1/los-montes-de-galicia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/26/08/3d/los-montes-de-galicia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/1f/40/b6/los-montes-de-galicia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/1f/40/9e/los-montes-de-galicia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/da/af/22/prueben-nuestra-sopa.jpg']"
1,2. Entre Santos Madrid,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/17/ca/c7/9f/parmigiana-de-berenjena.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/b2/48/60/entre-santos-madrid.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/ca/c6/ff/anchoas-doble-zero-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/49/69/87/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/49/69/89/photo6jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/6c/15/2b/ceviche-de-salmon-con.jpg']"
2,3. Brunchit Malasana,Spanish,[]
3,4. Pituca Madrid,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-s/1d/67/73/27/cocina-peruana-fusion.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/67/73/29/pitucazo-criollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/b4/c8/parilla.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/26/98/53/a5/variedad-de-cebiches.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/26/98/53/14/orgia-marina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/ac/30/terraza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/ac/0f/postre.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/76/46/cocina-de-parilla-y-al.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/ac/0f/postre.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1e/09/76/46/cocina-de-parilla-y-al.jpg']"
4,5. Restaurante La Gaditana,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-s/1d/69/02/a2/y-si-le-damos-una-vuelta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/a3/da/43/tartar-de-atun-rojo-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/ce/7a/1e/restaurante-la-gaditana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/d1/1b/a8/morrillo-de-atun-rojo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/a3/da/20/plato-jamon-iberico-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/69/02/a5/pues-hoy-os-traemos-nuestras.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/69/02/9f/pues-hoy-os-traemos-nuestras.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/69/02/9f/pues-hoy-os-traemos-nuestras.jpg']"
5,6. GastroVia 61,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/3d/e3/51/gastrovia-61.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/3d/e3/20/gastrovia-61.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/46/00/a4/restaurante-gastrovia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b3/32/77/tartar-de-atun-rojo-manzanares.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/f7/1f/3d/esparragos-blancos-vega.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/f7/1f/7a/pochas-con-bacalao-y.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/f7/1f/5b/migas-con-sus-torreznos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/f1/55/a8/gastrovia-61.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/d2/09/bf/restaurante-gastrovia.jpg']"
6,7. Astral,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/05/e4/98/5c/vamos-a-probar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/10/b3/53/cochinillo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/b9/b1/e0/20170906-223224-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/96/d2/16/img-20180409-160851-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/f1/ff/c0/kpntodc18zzn3m99da0e2maty4wzrt.jpg']"
7,8. La descarada,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-s/1d/2a/c8/c1/huevo-de-chocolate.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/32/68/49/canelones-rellenos-de.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/34/f0/06/salmorejo-descarado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/32/68/4e/merluza-de-pintxo-con.jpg']"
8,9. Taberna el Sur,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/a9/f7/a1/taberna-el-sur.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/b9/0d/dc/caption.jpg']"
9,10. La Mariterranea - Madrid,Spanish,"['https://media-cdn.tripadvisor.com/media/photo-f/23/04/7c/b2/paella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/23/04/7c/b1/carpaccio.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/23/04/7c/b0/paella.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/23/04/7c/af/gambas-al-ajillo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/23/04/7c/ae/canas.jpg']"
